sample_id,gt,pred,prob_0,prob_1,correct,preprocess_ms,inference_ms,total_ms,xmin,ymin,xmax,ymax
001503,1,1,0.049247,0.950753,true,3.532969,731.182969,734.715938,295,73,412,174
000093,0,0,0.586737,0.413263,true,4.396562,679.482500,683.879062,324,127,461,200
001847,0,0,0.997099,0.002901,true,3.701563,693.817188,697.518751,416,74,459,116
000955,1,0,0.943488,0.056512,false,3.755782,684.244843,688.000625,244,84,311,137
003733,1,1,0.006001,0.993999,true,3.612031,685.285989,688.898020,376,111,468,228
004420,1,0,0.370424,0.629576,false,3.486198,685.222083,688.708281,152,49,605,457
001653,1,1,0.148802,0.851198,true,3.552135,688.881926,692.434061,329,125,506,235
000339,1,1,0.032192,0.967808,true,3.602656,684.591145,688.193801,302,149,543,295
004963,1,1,0.010614,0.989386,true,3.780052,689.961771,693.741823,405,155,515,310
003036,1,1,0.021339,0.978661,true,3.605469,675.723489,679.328958,347,198,595,383
004092,1,1,0.026142,0.973858,true,3.651875,683.569635,687.221510,107,153,327,344
004147,0,0,0.998837,0.001163,true,3.452240,693.376562,696.828802,300,148,358,186
004727,1,1,0.061350,0.938650,true,3.493125,691.954583,695.447708,320,181,489,323
004326,1,1,0.038878,0.961122,true,3.524532,705.188749,708.713281,303,99,432,210
000822,1,1,0.014528,0.985472,true,3.501510,681.317239,684.818749,372,198,493,328
000349,0,1,0.089168,0.910832,false,3.655000,682.362031,686.017031,241,117,650,386
004996,1,1,0.017186,0.982814,true,3.373229,685.356719,688.729948,308,123,506,315
002811,1,1,0.091938,0.908062,true,3.439271,711.460625,714.899896,199,192,395,321
004439,1,1,0.014248,0.985752,true,3.777448,692.089166,695.866614,323,115,441,228
000415,0,1,0.168150,0.831850,false,3.791094,685.095625,688.886719,436,150,530,207
004284,1,1,0.025433,0.974567,true,3.784843,674.163437,677.948280,271,155,350,259
000153,0,0,0.994266,0.005734,true,3.476667,688.485000,691.961667,281,124,438,262
004677,1,0,0.765604,0.234396,false,3.473958,672.546667,676.020625,241,154,365,212
000779,1,1,0.028176,0.971824,true,3.770000,689.343750,693.113750,306,234,415,324
000745,1,1,0.030856,0.969144,true,3.599844,682.982448,686.582292,376,87,477,185
001261,1,1,0.015086,0.984914,true,3.526719,668.440573,671.967292,263,114,367,281
003657,1,1,0.020072,0.979928,true,3.493438,676.326354,679.819792,26,117,215,331
003302,1,1,0.058108,0.941892,true,3.562240,694.219270,697.781510,409,129,541,216
003235,1,1,0.027262,0.972738,true,3.479115,703.446614,706.925729,224,55,530,247
003545,0,0,0.997661,0.002339,true,3.531667,674.557344,678.089011,220,62,538,203
000009,0,1,0.114694,0.885306,false,3.474635,674.071406,677.546041,203,80,614,384
003323,1,1,0.044237,0.955763,true,3.441302,701.745312,705.186614,255,150,410,288
001307,1,0,0.928878,0.071122,false,3.895156,741.470156,745.365312,302,122,419,213
003527,0,0,0.842436,0.157564,true,3.801979,733.971718,737.773697,442,106,566,175
000695,1,0,0.964518,0.035482,false,3.675364,702.218854,705.894218,311,118,475,214
002088,1,1,0.018022,0.981978,true,3.616667,697.870573,701.487240,418,80,525,159
001891,1,0,0.354722,0.645278,false,3.491406,681.071094,684.562500,167,105,300,200
000788,1,0,0.273335,0.726665,false,3.717864,680.505416,684.223280,230,174,347,270
002496,1,1,0.024726,0.975274,true,3.776875,682.509635,686.286510,212,114,329,253
001462,1,1,0.006996,0.993004,true,3.403646,677.700937,681.104583,326,230,514,430
002456,0,0,0.924998,0.075002,true,3.635625,741.615728,745.251353,365,242,394,274
003040,0,1,0.021310,0.978690,false,3.606146,731.534531,735.140677,247,115,553,321
001579,1,1,0.076138,0.923862,true,3.852812,725.813749,729.666561,220,58,434,252
000046,1,1,0.024548,0.975452,true,3.558958,691.108385,694.667343,211,105,501,300
000968,1,1,0.014485,0.985515,true,3.586250,675.206354,678.792604,273,155,534,375
000846,1,1,0.026617,0.973383,true,3.435937,696.167968,699.603905,368,106,668,389
002365,0,0,0.997680,0.002320,true,3.702656,741.882135,745.584791,205,157,285,222
002829,1,1,0.210535,0.789465,true,3.723437,762.649635,766.373072,239,51,572,449
001155,1,1,0.254310,0.745690,true,3.729375,722.671666,726.401041,378,173,462,261
001716,1,0,0.651537,0.348463,false,3.910313,714.953646,718.863959,90,81,373,433
003787,1,1,0.062296,0.937704,true,3.720677,730.663750,734.384427,324,186,500,294
003559,0,0,0.995304,0.004696,true,3.694427,694.365833,698.060260,366,63,405,90
002669,1,1,0.045211,0.954789,true,3.599479,688.695000,692.294479,414,109,517,186
001482,1,1,0.009441,0.990559,true,3.705104,691.909375,695.614479,229,168,421,299
003647,1,1,0.013589,0.986411,true,3.428750,745.184843,748.613593,465,150,645,270
003952,1,1,0.031411,0.968589,true,3.795885,732.516666,736.312551,229,147,457,343
001288,1,1,0.113441,0.886559,true,3.756562,733.797864,737.554426,234,110,366,240
001049,1,1,0.111428,0.888573,true,3.827812,723.850781,727.678593,60,97,397,287
003426,1,1,0.014912,0.985088,true,3.946563,715.507969,719.454532,195,67,425,280
001153,1,1,0.054016,0.945984,true,2.782031,739.693437,742.475468,533,174,604,238
003313,1,1,0.009133,0.990867,true,3.744531,732.934219,736.678750,67,59,288,320
001549,1,1,0.006104,0.993896,true,3.629532,730.219896,733.849428,297,92,546,272
003397,1,1,0.035822,0.964178,true,3.817813,737.178906,740.996719,228,109,507,282
003092,1,1,0.014265,0.985735,true,3.715782,725.674219,729.390001,332,219,409,340
003023,1,1,0.033197,0.966803,true,3.907083,754.283177,758.190260,338,127,458,230
004570,1,0,0.614081,0.385919,false,3.917812,736.588541,740.506353,293,139,507,268
001368,1,1,0.009761,0.990239,true,3.964844,736.743906,740.708750,431,172,561,288
000387,0,0,0.930908,0.069092,true,3.617708,727.959167,731.576875,109,81,307,208
002956,0,0,0.893199,0.106801,true,3.843021,731.985104,735.828125,280,158,311,188
004712,0,0,0.884511,0.115489,true,3.656094,745.037344,748.693438,215,101,485,254
000756,1,1,0.012713,0.987287,true,3.788542,733.223906,737.012448,154,178,212,279
000689,1,1,0.013493,0.986507,true,3.658073,741.404219,745.062292,333,53,501,199
004668,0,1,0.038337,0.961663,false,3.757864,733.635885,737.393749,184,127,244,192
004013,1,0,0.443495,0.556505,false,3.870625,723.731926,727.602551,382,138,545,254
003741,1,1,0.026935,0.973065,true,7.016302,735.135052,742.151354,373,95,440,184
004650,0,0,0.968278,0.031722,true,3.836407,766.919219,770.755626,255,161,448,250
002306,1,1,0.024592,0.975408,true,3.934167,734.240260,738.174427,471,111,583,206
001021,1,1,0.014980,0.985020,true,3.704010,724.681197,728.385207,410,246,474,339
001491,1,1,0.069571,0.930429,true,3.766250,734.710573,738.476823,402,82,473,139
002448,1,1,0.029684,0.970316,true,3.767604,737.035312,740.802916,310,284,376,367
000537,0,0,0.998653,0.001347,true,3.869218,750.341875,754.211093,197,106,316,215
003154,1,1,0.138308,0.861692,true,3.719219,725.062343,728.781562,324,57,506,234
003817,1,1,0.017835,0.982165,true,3.674532,750.157968,753.832500,369,81,694,279
001241,1,1,0.105863,0.894137,true,4.069322,723.284843,727.354165,426,239,511,311
002660,1,0,0.968793,0.031207,false,3.978437,747.005313,750.983750,297,166,370,237
002966,0,0,0.999800,0.000200,true,3.871563,722.254062,726.125625,398,126,422,155
004105,0,0,0.981057,0.018943,true,3.657865,722.946823,726.604688,126,59,433,212
000222,1,0,0.385173,0.614827,false,3.793437,731.768072,735.561509,359,108,558,274
002662,1,1,0.014472,0.985528,true,4.008125,714.801770,718.809895,311,44,469,230
002939,0,0,0.997883,0.002117,true,4.247604,736.419739,740.667343,209,163,280,226
000797,1,1,0.035581,0.964419,true,3.810157,720.492135,724.302292,286,251,372,367
001347,1,1,0.053298,0.946702,true,3.664948,732.172292,735.837240,411,184,456,252
001229,1,1,0.042702,0.957298,true,3.930730,740.300468,744.231198,353,84,467,173
001215,1,0,0.783883,0.216117,false,3.809531,725.095312,728.904843,265,106,300,147
004102,1,1,0.020510,0.979490,true,3.895781,719.752760,723.648541,194,157,360,284
000988,1,0,0.879096,0.120904,false,4.017187,731.807656,735.824843,93,232,157,282
004176,1,1,0.030802,0.969198,true,3.706406,732.397552,736.103958,332,84,480,210
