sample_id,gt,pred,prob_0,prob_1,correct,preprocess_ms,inference_ms,total_ms,xmin,ymin,xmax,ymax
001503,1,1,0.049247,0.950753,true,4.018594,724.064531,728.083125,295,73,412,174
000093,0,0,0.586737,0.413263,true,3.709948,750.321354,754.031302,324,127,461,200
001847,0,0,0.997099,0.002901,true,3.764219,735.630468,739.394687,416,74,459,116
000955,1,0,0.943488,0.056512,false,3.887344,735.111406,738.998750,244,84,311,137
003733,1,1,0.006001,0.993999,true,4.047031,750.210572,754.257603,376,111,468,228
004420,1,0,0.370424,0.629576,false,3.746407,719.518437,723.264844,152,49,605,457
001653,1,1,0.148802,0.851198,true,3.676667,728.487812,732.164479,329,125,506,235
000339,1,1,0.032192,0.967808,true,3.828646,726.743646,730.572292,302,149,543,295
004963,1,1,0.010614,0.989386,true,2.620312,736.589374,739.209686,405,155,515,310
003036,1,1,0.021339,0.978661,true,3.827969,721.206249,725.034218,347,198,595,383
004092,1,1,0.026142,0.973858,true,3.705000,733.566823,737.271823,107,153,327,344
004147,0,0,0.998837,0.001163,true,3.654323,722.405051,726.059374,300,148,358,186
004727,1,1,0.061350,0.938650,true,2.678125,755.178958,757.857083,320,181,489,323
004326,1,1,0.038878,0.961122,true,3.685000,739.114219,742.799219,303,99,432,210
000822,1,1,0.014528,0.985472,true,3.864843,739.574531,743.439374,372,198,493,328
000349,0,1,0.089168,0.910832,false,3.706822,752.687760,756.394582,241,117,650,386
004996,1,1,0.017186,0.982814,true,3.864167,738.073125,741.937292,308,123,506,315
002811,1,1,0.091938,0.908062,true,3.811771,732.490573,736.302344,199,192,395,321
004439,1,1,0.014248,0.985752,true,3.952344,740.540781,744.493125,323,115,441,228
000415,0,1,0.168150,0.831850,false,3.886094,715.456042,719.342136,436,150,530,207
004284,1,1,0.025433,0.974567,true,3.822136,722.926145,726.748281,271,155,350,259
000153,0,0,0.994266,0.005734,true,5.451406,751.202552,756.653958,281,124,438,262
004677,1,0,0.765604,0.234396,false,3.942969,717.363229,721.306198,241,154,365,212
000779,1,1,0.028176,0.971824,true,3.802604,738.992343,742.794947,306,234,415,324
000745,1,1,0.030856,0.969144,true,4.067761,751.284948,755.352709,376,87,477,185
001261,1,1,0.015086,0.984914,true,3.993073,772.119166,776.112239,263,114,367,281
003657,1,1,0.020072,0.979928,true,3.771094,745.264375,749.035469,26,117,215,331
003302,1,1,0.058108,0.941892,true,3.974322,740.115728,744.090050,409,129,541,216
003235,1,1,0.027262,0.972738,true,3.855781,740.209531,744.065312,224,55,530,247
003545,0,0,0.997661,0.002339,true,3.848333,742.584636,746.432969,220,62,538,203
000009,0,1,0.114694,0.885306,false,3.767448,728.493958,732.261406,203,80,614,384
003323,1,1,0.044237,0.955763,true,3.704635,733.905729,737.610364,255,150,410,288
001307,1,0,0.928878,0.071122,false,3.768541,734.413489,738.182030,302,122,419,213
003527,0,0,0.842436,0.157564,true,3.853854,728.251563,732.105417,442,106,566,175
000695,1,0,0.964518,0.035482,false,4.038438,740.328124,744.366562,311,118,475,214
002088,1,1,0.018022,0.981978,true,3.776875,729.546510,733.323385,418,80,525,159
001891,1,0,0.354722,0.645278,false,3.744687,736.834375,740.579062,167,105,300,200
000788,1,0,0.273335,0.726665,false,3.808125,741.750521,745.558646,230,174,347,270
002496,1,1,0.024726,0.975274,true,3.836406,741.319479,745.155885,212,114,329,253
001462,1,1,0.006996,0.993004,true,3.875313,725.540833,729.416146,326,230,514,430
002456,0,0,0.924998,0.075002,true,3.872135,779.304374,783.176509,365,242,394,274
003040,0,1,0.021310,0.978690,false,6.397344,729.880104,736.277448,247,115,553,321
001579,1,1,0.076138,0.923862,true,3.879375,726.710313,730.589688,220,58,434,252
000046,1,1,0.024548,0.975452,true,3.819739,741.226562,745.046301,211,105,501,300
000968,1,1,0.014485,0.985515,true,3.748490,735.582188,739.330678,273,155,534,375
000846,1,1,0.026617,0.973383,true,3.772864,734.491614,738.264478,368,106,668,389
002365,0,0,0.997680,0.002320,true,3.683125,716.051822,719.734947,205,157,285,222
002829,1,1,0.210535,0.789465,true,3.916197,714.254635,718.170832,239,51,572,449
001155,1,1,0.254310,0.745690,true,3.632500,740.559166,744.191666,378,173,462,261
001716,1,0,0.651537,0.348463,false,3.686562,723.032760,726.719322,90,81,373,433
003787,1,1,0.062296,0.937704,true,3.635313,739.652969,743.288282,324,186,500,294
003559,0,0,0.995304,0.004696,true,3.682032,742.142812,745.824844,366,63,405,90
002669,1,1,0.045211,0.954789,true,3.933333,725.328698,729.262031,414,109,517,186
001482,1,1,0.009441,0.990559,true,3.876407,723.145104,727.021511,229,168,421,299
003647,1,1,0.013589,0.986411,true,3.987500,726.996510,730.984010,465,150,645,270
003952,1,1,0.031411,0.968589,true,3.662292,729.715468,733.377760,229,147,457,343
001288,1,1,0.113441,0.886559,true,4.200365,724.136041,728.336406,234,110,366,240
001049,1,1,0.111428,0.888573,true,3.749271,747.713958,751.463229,60,97,397,287
003426,1,1,0.014912,0.985088,true,3.600104,721.099636,724.699740,195,67,425,280
