sample_id,gt,pred,prob_0,prob_1,correct,preprocess_ms,inference_ms,total_ms,xmin,ymin,xmax,ymax
001503,1,1,0.043079,0.956921,true,4.760416,229.935364,234.695780,295,73,412,174
000093,0,0,0.591051,0.408949,true,5.643281,232.363802,238.007083,324,127,461,200
001847,0,0,0.997618,0.002382,true,3.531875,222.179114,225.710989,416,74,459,116
000955,1,0,0.948519,0.051481,false,3.496406,217.918646,221.415052,244,84,311,137
003733,1,1,0.004458,0.995542,true,3.688125,227.323281,231.011406,376,111,468,228
004420,1,0,0.332460,0.667540,false,3.636563,238.121667,241.758230,152,49,605,457
001653,1,1,0.129120,0.870880,true,3.464375,233.923802,237.388177,329,125,506,235
000339,1,1,0.029544,0.970456,true,3.671250,235.694426,239.365676,302,149,543,295
004963,1,1,0.008344,0.991656,true,3.514740,230.665000,234.179740,405,155,515,310
003036,1,1,0.016347,0.983653,true,3.706719,228.882969,232.589688,347,198,595,383
004092,1,1,0.022912,0.977088,true,3.407448,228.332448,231.739896,107,153,327,344
004147,0,0,0.999253,0.000747,true,3.504011,220.878802,224.382813,300,148,358,186
004727,1,1,0.044556,0.955444,true,6.371667,225.012500,231.384167,320,181,489,323
004326,1,1,0.034253,0.965747,true,3.533594,232.414167,235.947761,303,99,432,210
000822,1,1,0.011197,0.988803,true,3.426093,237.670468,241.096561,372,198,493,328
000349,0,1,0.072450,0.927550,false,3.579687,226.242916,229.822603,241,117,650,386
004996,1,1,0.013205,0.986795,true,3.446407,218.662865,222.109272,308,123,506,315
002811,1,1,0.087685,0.912315,true,3.360416,227.628020,230.988436,199,192,395,321
004439,1,1,0.011063,0.988937,true,3.451511,230.828281,234.279792,323,115,441,228
000415,0,1,0.174106,0.825894,false,3.714375,231.166094,234.880469,436,150,530,207
004284,1,1,0.024579,0.975421,true,3.468385,218.658281,222.126666,271,155,350,259
000153,0,0,0.995605,0.004395,true,3.605000,229.602968,233.207968,281,124,438,262
004677,1,0,0.817403,0.182597,false,3.469791,228.077187,231.546978,241,154,365,212
000779,1,1,0.023551,0.976449,true,2.305885,225.029531,227.335416,306,234,415,324
000745,1,1,0.025336,0.974664,true,3.696198,220.595625,224.291823,376,87,477,185
001261,1,1,0.012972,0.987028,true,3.776093,223.242760,227.018853,263,114,367,281
003657,1,1,0.015774,0.984226,true,3.681875,229.516771,233.198646,26,117,215,331
003302,1,1,0.046613,0.953387,true,3.740833,227.832500,231.573333,409,129,541,216
003235,1,1,0.020872,0.979128,true,3.420781,219.758593,223.179374,224,55,530,247
003545,0,0,0.998451,0.001549,true,3.497917,236.481302,239.979219,220,62,538,203
000009,0,1,0.113379,0.886621,false,2.943750,224.666770,227.610520,203,80,614,384
003323,1,1,0.038592,0.961408,true,3.501146,226.924219,230.425365,255,150,410,288
001307,1,0,0.948788,0.051212,false,3.510105,219.559375,223.069480,302,122,419,213
003527,0,0,0.831509,0.168491,true,3.740260,234.808749,238.549009,442,106,566,175
000695,1,0,0.971730,0.028270,false,3.755520,231.118750,234.874270,311,118,475,214
002088,1,1,0.014234,0.985766,true,3.542240,229.407657,232.949897,418,80,525,159
001891,1,0,0.372433,0.627567,false,3.783906,222.929427,226.713333,167,105,300,200
000788,1,0,0.283367,0.716633,false,3.699427,228.530886,232.230313,230,174,347,270
002496,1,1,0.020417,0.979583,true,3.499687,228.002240,231.501927,212,114,329,253
001462,1,1,0.004917,0.995083,true,3.535938,237.149323,240.685261,326,230,514,430
002456,0,0,0.944988,0.055012,true,3.494063,224.461302,227.955365,365,242,394,274
003040,0,1,0.015057,0.984943,false,3.377760,220.967969,224.345729,247,115,553,321
001579,1,1,0.065148,0.934852,true,3.325313,233.760990,237.086303,220,58,434,252
000046,1,1,0.019911,0.980089,true,3.742344,232.637708,236.380052,211,105,501,300
000968,1,1,0.010938,0.989062,true,3.784062,232.338802,236.122864,273,155,534,375
000846,1,1,0.020164,0.979836,true,3.559219,225.346875,228.906094,368,106,668,389
002365,0,0,0.998333,0.001667,true,7.765781,226.127239,233.893020,205,157,285,222
002829,1,1,0.179655,0.820345,true,3.512969,231.307500,234.820469,239,51,572,449
001155,1,1,0.224829,0.775171,true,3.476406,224.655052,228.131458,378,173,462,261
001716,1,0,0.659601,0.340399,false,3.699740,232.148490,235.848230,90,81,373,433
003787,1,1,0.049511,0.950489,true,3.457968,220.510312,223.968280,324,186,500,294
003559,0,0,0.996759,0.003241,true,3.481510,230.824219,234.305729,366,63,405,90
002669,1,1,0.035591,0.964409,true,3.472813,236.769687,240.242500,414,109,517,186
001482,1,1,0.007391,0.992609,true,3.448125,226.130261,229.578386,229,168,421,299
003647,1,1,0.010437,0.989563,true,3.410885,220.846198,224.257083,465,150,645,270
003952,1,1,0.026971,0.973029,true,3.518958,231.910000,235.428958,229,147,457,343
001288,1,1,0.103999,0.896001,true,3.711146,228.710990,232.422136,234,110,366,240
001049,1,1,0.099706,0.900294,true,3.369010,233.152187,236.521197,60,97,397,287
003426,1,1,0.011779,0.988221,true,3.462812,217.425365,220.888177,195,67,425,280
001153,1,1,0.046827,0.953173,true,3.497396,231.248073,234.745469,533,174,604,238
003313,1,1,0.007099,0.992901,true,3.459375,228.932969,232.392344,67,59,288,320
001549,1,1,0.004149,0.995851,true,3.413489,228.194375,231.607864,297,92,546,272
003397,1,1,0.030898,0.969102,true,3.730469,223.853490,227.583959,228,109,507,282
003092,1,1,0.009873,0.990127,true,3.458229,221.035677,224.493906,332,219,409,340
003023,1,1,0.026542,0.973458,true,3.592188,227.838854,231.431042,338,127,458,230
004570,1,0,0.698501,0.301499,false,3.434479,233.232969,236.667448,293,139,507,268
001368,1,1,0.007091,0.992909,true,3.522344,231.450104,234.972448,431,172,561,288
000387,0,0,0.943322,0.056678,true,3.558125,227.626771,231.184896,109,81,307,208
002956,0,0,0.883868,0.116132,true,3.553958,238.479844,242.033802,280,158,311,188
