dataset,mode,split,metric,n_folds,mean,std,mean_std
aul,oracle,test,auc,5,0.8767246937459703,0.0010594246760254578,0.8767 +/- 0.0011
aul,oracle,test,bal_acc,5,0.8200193423597679,0.0544873698655145,0.8200 +/- 0.0545
aul,oracle,test,f1_macro,5,0.746195009061694,0.04532270025827415,0.7462 +/- 0.0453
aul,oracle,test,acc,5,0.768503937007874,0.04678252213389906,0.7685 +/- 0.0468
aul,oracle,test,recall_0,5,0.9272727272727272,0.14627295013511724,0.9273 +/- 0.1463
aul,oracle,test,recall_1,5,0.7127659574468085,0.0851063829787234,0.7128 +/- 0.0851
aul,auto,test,auc,5,0.8506769825918762,0.02479379026647941,0.8507 +/- 0.0248
aul,auto,test,bal_acc,5,0.7593488072211476,0.03225297811830332,0.7593 +/- 0.0323
aul,auto,test,f1_macro,5,0.690840865331776,0.06273201945293227,0.6908 +/- 0.0627
aul,auto,test,acc,5,0.7165354330708661,0.07971833358786058,0.7165 +/- 0.0797
aul,auto,test,recall_0,5,0.8484848484848485,0.14689938961867663,0.8485 +/- 0.1469
aul,auto,test,recall_1,5,0.6702127659574468,0.15231724535400376,0.6702 +/- 0.1523
aul,full,test,auc,5,0.7441005802707931,0.012446674501078836,0.7441 +/- 0.0124
aul,full,test,bal_acc,5,0.6804964539007092,0.023929901034446182,0.6805 +/- 0.0239
aul,full,test,f1_macro,5,0.6787220457906249,0.022735598070838723,0.6787 +/- 0.0227
aul,full,test,acc,5,0.7511811023622047,0.021274419033238224,0.7512 +/- 0.0213
aul,full,test,recall_0,5,0.5333333333333333,0.05504818825631804,0.5333 +/- 0.0550
aul,full,test,recall_1,5,0.8276595744680851,0.033132790430632865,0.8277 +/- 0.0331
busi,oracle,test,auc,5,0.8997502497502498,0.012926354923416565,0.8998 +/- 0.0129
busi,oracle,test,bal_acc,5,0.7960789210789211,0.011573034209887761,0.7961 +/- 0.0116
busi,oracle,test,f1_macro,5,0.8017783814615119,0.013316639177291782,0.8018 +/- 0.0133
busi,oracle,test,acc,5,0.813953488372093,0.014502548010751737,0.8140 +/- 0.0145
busi,oracle,test,recall_0,5,0.8883116883116883,0.0406557814090871,0.8883 +/- 0.0407
busi,oracle,test,recall_1,5,0.7038461538461538,0.037487670556957516,0.7038 +/- 0.0375
busi,auto,test,auc,5,0.8724775224775225,0.017694060510959325,0.8725 +/- 0.0177
busi,auto,test,bal_acc,5,0.7838661338661339,0.020053327678022013,0.7839 +/- 0.0201
busi,auto,test,f1_macro,5,0.7892502044745379,0.019655872016244674,0.7893 +/- 0.0197
busi,auto,test,acc,5,0.8031007751937984,0.018669138881848554,0.8031 +/- 0.0187
busi,auto,test,recall_0,5,0.8831168831168831,0.05112992125981693,0.8831 +/- 0.0511
busi,auto,test,recall_1,5,0.6846153846153846,0.06605986168199103,0.6846 +/- 0.0661
busi,full,test,auc,5,0.7736763236763237,0.004920777142949146,0.7737 +/- 0.0049
busi,full,test,bal_acc,5,0.6982017982017982,0.026453992802898996,0.6982 +/- 0.0265
busi,full,test,f1_macro,5,0.6914937876471221,0.042234943344220253,0.6915 +/- 0.0422
busi,full,test,acc,5,0.7023255813953488,0.04670502428338625,0.7023 +/- 0.0467
busi,full,test,recall_0,5,0.7194805194805195,0.14125429019406474,0.7195 +/- 0.1413
busi,full,test,recall_1,5,0.676923076923077,0.10121305666877513,0.6769 +/- 0.1012
