dataset,mode,fold,split,threshold,temperature,acc,bal_acc,f1_macro,auc,recall_0,recall_1,tn,fp,fn,tp,n,run_dir,data_root,used_ckpts
busi,oracle,0,val,0.76,1.4452080726623535,0.9134615384615384,0.9102564102564104,0.9081542537533117,0.9633136094674557,0.9230769230769231,0.8974358974358975,60,5,4,35,104,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335,<LOCAL_THYROID_ROOT>\busi\busi_voc_v3_square_consistent,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335\epoch200_auc_0.9578.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335\epoch199_auc_0.9574.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335\epoch198_auc_0.9570.pth
busi,oracle,0,test,0.76,1.4452080726623535,0.8062015503875969,0.7814685314685315,0.7898338220918866,0.9033466533466534,0.9090909090909091,0.6538461538461539,70,7,18,34,129,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335,<LOCAL_THYROID_ROOT>\busi\busi_voc_v3_square_consistent,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335\epoch200_auc_0.9578.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335\epoch199_auc_0.9574.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_165335\epoch198_auc_0.9570.pth
busi,oracle,1,val,0.63,1.9401170015335083,0.8461538461538461,0.8325652841781874,0.8375,0.8882488479262673,0.9032258064516129,0.7619047619047619,56,6,10,32,104,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346,<LOCAL_THYROID_ROOT>\busi\busi_voc_v3_square_consistent,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346\epoch198_auc_0.8909.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346\epoch197_auc_0.8906.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346\epoch195_auc_0.8902.pth
busi,oracle,1,test,0.63,1.9401170015335083,0.813953488372093,0.8004495504495504,0.8040506329113923,0.9058441558441558,0.8701298701298701,0.7307692307692307,67,10,14,38,129,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346,<LOCAL_THYROID_ROOT>\busi\busi_voc_v3_square_consistent,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346\epoch198_auc_0.8909.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346\epoch197_auc_0.8906.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_173346\epoch195_auc_0.8902.pth
busi,oracle,2,val,0.67,1.9462027549743652,0.8365384615384616,0.834375,0.8295903614457831,0.915234375,0.84375,0.825,54,10,7,33,104,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344,<LOCAL_THYROID_ROOT>\busi\busi_voc_v3_square_consistent,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344\epoch199_auc_0.9137.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344\epoch196_auc_0.9133.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344\epoch195_auc_0.9129.pth
busi,oracle,2,test,0.67,1.9462027549743652,0.813953488372093,0.8004495504495504,0.8040506329113923,0.9083416583416584,0.8701298701298701,0.7307692307692307,67,10,14,38,129,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344,<LOCAL_THYROID_ROOT>\busi\busi_voc_v3_square_consistent,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344\epoch199_auc_0.9137.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344\epoch196_auc_0.9133.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_181344\epoch195_auc_0.9129.pth
busi,oracle,3,val,0.46,2.001189708709717,0.8640776699029126,0.8455528846153846,0.8523751023751024,0.8878205128205128,0.921875,0.7692307692307693,59,5,9,30,103,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347,<LOCAL_THYROID_ROOT>\busi\busi_voc_v3_square_consistent,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347\epoch122_auc_0.8902.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347\epoch114_auc_0.8898.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347\epoch113_auc_0.8894.pth
busi,oracle,3,test,0.46,2.001189708709717,0.7984496124031008,0.7874625374625375,0.7892156862745099,0.8768731268731269,0.8441558441558441,0.7307692307692307,65,12,14,38,129,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347,<LOCAL_THYROID_ROOT>\busi\busi_voc_v3_square_consistent,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347\epoch122_auc_0.8902.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347\epoch114_auc_0.8898.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_185347\epoch113_auc_0.8894.pth
busi,oracle,4,val,0.77,1.593265175819397,0.8932038834951457,0.8807539682539682,0.8859357696566998,0.9448412698412698,0.9365079365079365,0.825,59,4,7,33,103,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506,<LOCAL_THYROID_ROOT>\busi\busi_voc_v3_square_consistent,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506\epoch200_auc_0.9440.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506\epoch187_auc_0.9433.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506\epoch185_auc_0.9425.pth
busi,oracle,4,test,0.77,1.593265175819397,0.8372093023255814,0.8105644355644356,0.8217411331183786,0.9043456543456543,0.948051948051948,0.6730769230769231,73,4,17,35,129,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506,<LOCAL_THYROID_ROOT>\busi\busi_voc_v3_square_consistent,<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506\epoch200_auc_0.9440.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506\epoch187_auc_0.9433.pth|<LOCAL_THYROID_ROOT>\busi_roi_runs_ggg_mca_clean_5fold_safe\20260426_192506\epoch185_auc_0.9425.pth
