dataset,split,metric,n_folds,mean,std,mean_std
aul,test,mean_iou,5,0.5755408462299898,0.02214269829681858,0.5755 +/- 0.0221
aul,test,median_iou,5,0.7068885757392538,0.021187755363299237,0.7069 +/- 0.0212
aul,test,recall_iou_0_50,5,0.6740157480314961,0.04188798764809571,0.6740 +/- 0.0419
aul,test,recall_iou_0_75,5,0.4330708661417323,0.02007487997477473,0.4331 +/- 0.0201
aul,test,no_detection_rate,5,0.0,0.0,0.0000 +/- 0.0000
aul,test,mean_confidence,5,0.5288090679581886,0.09210228363901415,0.5288 +/- 0.0921
busi,test,mean_iou,5,0.736548902087356,0.0240859103392058,0.7365 +/- 0.0241
busi,test,median_iou,5,0.8373541989048691,0.030159909142225515,0.8374 +/- 0.0302
busi,test,recall_iou_0_50,5,0.8403100775193798,0.014082094670220868,0.8403 +/- 0.0141
busi,test,recall_iou_0_75,5,0.6821705426356589,0.05481447916174788,0.6822 +/- 0.0548
busi,test,no_detection_rate,5,0.0,0.0,0.0000 +/- 0.0000
busi,test,mean_confidence,5,0.7278659429892089,0.05928038316940379,0.7279 +/- 0.0593
