dataset,fold,split,n,no_detection,no_detection_rate,mean_iou,median_iou,recall_iou_0_30,recall_iou_0_50,recall_iou_0_75,mean_confidence
busi,0,val,104,0,0.0,0.7389017366095608,0.8473853575686731,0.875,0.8365384615384616,0.6826923076923077,0.7578347598274167
busi,0,test,129,0,0.0,0.7613702432326092,0.8815692476120615,0.8992248062015504,0.8604651162790697,0.7209302325581395,0.7684445798166039
busi,1,val,104,0,0.0,0.6978590420925752,0.7723383888304622,0.8653846153846154,0.8173076923076923,0.5673076923076923,0.6559914819036539
busi,1,test,129,0,0.0,0.7163562563023216,0.8180078968454977,0.8837209302325582,0.8372093023255814,0.6666666666666666,0.7044164370889812
busi,2,val,104,0,0.0,0.7706235383369155,0.8681318628288689,0.8942307692307693,0.875,0.7403846153846154,0.7977987625994362
busi,2,test,129,0,0.0,0.7388099419849182,0.8335172949532749,0.8837209302325582,0.8449612403100775,0.689922480620155,0.793104305285816
busi,3,val,103,0,0.0,0.7845735469382885,0.8610399042017173,0.941747572815534,0.8932038834951457,0.7766990291262136,0.7291820286547096
busi,3,test,129,0,0.0,0.7582817613221501,0.8500044113168824,0.9069767441860465,0.8372093023255814,0.7364341085271318,0.7325728508506635
busi,4,val,103,0,0.0,0.7539543201237895,0.8437877779983647,0.9320388349514563,0.8543689320388349,0.6990291262135923,0.6357852225960459
busi,4,test,129,0,0.0,0.7079263075947808,0.8036721437966287,0.8837209302325582,0.8217054263565892,0.5968992248062015,0.64079154190398
aul,0,val,102,0,0.0,0.6362841869008325,0.7481864254456356,0.8137254901960784,0.7843137254901961,0.49019607843137253,0.6797174314520887
aul,0,test,127,0,0.0,0.5715222686609575,0.689791861929492,0.7480314960629921,0.6535433070866141,0.4251968503937008,0.6129253468380904
aul,1,val,102,0,0.0,0.5976348306053132,0.7462304259249946,0.7745098039215687,0.7156862745098039,0.4803921568627451,0.47734062017544227
aul,1,test,127,0,0.0,0.5653547990464848,0.728108450772098,0.7322834645669292,0.6456692913385826,0.44881889763779526,0.451204245836716
aul,2,val,102,0,0.0,0.5658594608600579,0.7327048899877452,0.7254901960784313,0.6764705882352942,0.45098039215686275,0.4688342041975143
aul,2,test,127,0,0.0,0.5627731484763081,0.6924299288445832,0.7401574803149606,0.6614173228346457,0.4015748031496063,0.4122434714589063
aul,3,val,101,0,0.0,0.6302590189107319,0.7708164435386006,0.8118811881188119,0.7128712871287128,0.5247524752475248,0.6355338401465428
aul,3,test,127,0,0.0,0.6146641351686816,0.7319389691500978,0.7874015748031497,0.7480314960629921,0.44881889763779526,0.6082264093799502
aul,4,val,101,0,0.0,0.6211417742942199,0.7536484049412518,0.7920792079207921,0.7227722772277227,0.5148514851485149,0.6395949148803507
aul,4,test,127,0,0.0,0.5633898797975171,0.6921736679999978,0.7322834645669292,0.6614173228346457,0.4409448818897638,0.5594458662772801
