name,base_name,display_name_cfg,fold_idx,seed,run_dir,status,model_family_cfg,backbone_name_cfg,backbone_module_cfg,backbone_func_cfg,backbone_lr_cfg,head_lr_cfg,use_ema_cfg,ema_decay_cfg,use_class_weight_cfg,param_tag,model_family,backbone_name,backbone_module,backbone_func,backbone_lr,head_lr,use_ema,ema_decay,use_hflip_tta,use_temperature_scaling,ensemble_topk_requested,ensemble_ckpts_used,best_epoch_by_runtime,best_score_by_runtime,selected_threshold,val_acc,val_bal_acc,val_f1_macro,val_auc,val_recall_0,val_recall_1,val_tn,val_fp,val_fn,val_tp,test_acc,test_bal_acc,test_f1_macro,test_auc,test_recall_0,test_recall_1,test_tn,test_fp,test_fn,test_tp
TRANSXNET_aul_p0_clean_f0,TRANSXNET_aul_p0_clean,TransXNet,0,17,<LOCAL_THYROID_ROOT>\aul_roi_runs_p0_structure_clean_5fold\20260425_030036,ok,custom,transxnet_t,models.transxnet,transxnet_t,1e-05,3e-05,True,0.9995,False,TRANSXNET_aul_p0_clean_f0,custom,transxnet_t,models.transxnet,transxnet_t,1e-05,3e-05,True,0.9995,True,True,2,2,16,0.770982,0.78,0.7549019607843137,0.7450892857142857,0.7299586995658159,0.7705357142857143,0.71875,0.7714285714285715,23,9,16,54,0.6220472440944882,0.6295977011494254,0.6041558441558441,0.6787356321839081,0.65,0.6091954022988506,26,14,34,53
TRANSXNET_aul_p0_clean_f1,TRANSXNET_aul_p0_clean,TransXNet,1,17,<LOCAL_THYROID_ROOT>\aul_roi_runs_p0_structure_clean_5fold\20260425_030312,ok,custom,transxnet_t,models.transxnet,transxnet_t,1e-05,3e-05,True,0.9995,False,TRANSXNET_aul_p0_clean_f1,custom,transxnet_t,models.transxnet,transxnet_t,1e-05,3e-05,True,0.9995,True,True,2,1,1,0.646875,0.68,0.7058823529411765,0.6669642857142857,0.6640316205533596,0.6379464285714286,0.5625,0.7714285714285715,18,14,16,54,0.6929133858267716,0.6340517241379311,0.6365837552278231,0.6448275862068965,0.475,0.7931034482758621,19,21,18,69
TRANSXNET_aul_p0_clean_f2,TRANSXNET_aul_p0_clean,TransXNet,2,17,<LOCAL_THYROID_ROOT>\aul_roi_runs_p0_structure_clean_5fold\20260425_030356,ok,custom,transxnet_t,models.transxnet,transxnet_t,1e-05,3e-05,True,0.9995,False,TRANSXNET_aul_p0_clean_f2,custom,transxnet_t,models.transxnet,transxnet_t,1e-05,3e-05,True,0.9995,True,True,2,2,2,0.810268,0.74,0.8235294117647058,0.778125,0.7875,0.8026785714285714,0.65625,0.9,21,11,7,63,0.6929133858267716,0.6340517241379311,0.6365837552278231,0.6482758620689655,0.475,0.7931034482758621,19,21,18,69
TRANSXNET_aul_p0_clean_f3,TRANSXNET_aul_p0_clean,TransXNet,3,17,<LOCAL_THYROID_ROOT>\aul_roi_runs_p0_structure_clean_5fold\20260425_030452,ok,custom,transxnet_t,models.transxnet,transxnet_t,1e-05,3e-05,True,0.9995,False,TRANSXNET_aul_p0_clean_f3,custom,transxnet_t,models.transxnet,transxnet_t,1e-05,3e-05,True,0.9995,True,True,2,2,7,0.749094,0.77,0.7128712871287128,0.7395833333333333,0.7011529435771859,0.7481884057971014,0.8125,0.6666666666666666,26,6,23,46,0.5748031496062992,0.6086206896551725,0.5670454545454545,0.6683908045977012,0.7,0.5172413793103449,28,12,42,45
TRANSXNET_aul_p0_clean_f4,TRANSXNET_aul_p0_clean,TransXNet,4,17,<LOCAL_THYROID_ROOT>\aul_roi_runs_p0_structure_clean_5fold\20260425_030624,ok,custom,transxnet_t,models.transxnet,transxnet_t,1e-05,3e-05,True,0.9995,False,TRANSXNET_aul_p0_clean_f4,custom,transxnet_t,models.transxnet,transxnet_t,1e-05,3e-05,True,0.9995,True,True,2,2,3,0.77038,0.62,0.7722772277227723,0.7160326086956521,0.7246651653431315,0.7726449275362319,0.5625,0.8695652173913043,18,14,9,60,0.7086614173228346,0.6252873563218391,0.6318840579710145,0.6505747126436782,0.4,0.8505747126436781,16,24,13,74
TRANSXNETG_aul_p0_clean_f0,TRANSXNETG_aul_p0_clean,TransXNet-G,0,17,<LOCAL_THYROID_ROOT>\aul_roi_runs_p0_structure_clean_5fold\20260425_030725,ok,custom,transxnet_t,models.transxnetg,transxnet_t,1e-05,3e-05,True,0.9995,False,TRANSXNETG_aul_p0_clean_f0,custom,transxnet_t,models.transxnetg,transxnet_t,1e-05,3e-05,True,0.9995,True,True,2,2,19,0.770089,0.78,0.7254901960784313,0.7321428571428572,0.7064144736842105,0.7709821428571428,0.75,0.7142857142857143,24,8,20,50,0.5905511811023622,0.6133620689655173,0.5790413054563999,0.6997126436781609,0.675,0.5517241379310345,27,13,39,48
TRANSXNETG_aul_p0_clean_f1,TRANSXNETG_aul_p0_clean,TransXNet-G,1,17,<LOCAL_THYROID_ROOT>\aul_roi_runs_p0_structure_clean_5fold\20260425_031013,ok,custom,transxnet_t,models.transxnetg,transxnet_t,1e-05,3e-05,True,0.9995,False,TRANSXNETG_aul_p0_clean_f1,custom,transxnet_t,models.transxnetg,transxnet_t,1e-05,3e-05,True,0.9995,True,True,2,1,1,0.651339,0.61,0.6862745098039216,0.678125,0.6607068607068607,0.6584821428571428,0.65625,0.7,21,11,21,49,0.7244094488188977,0.684051724137931,0.6827945479197888,0.7123563218390805,0.575,0.7931034482758621,23,17,18,69
TRANSXNETG_aul_p0_clean_f2,TRANSXNETG_aul_p0_clean,TransXNet-G,2,17,<LOCAL_THYROID_ROOT>\aul_roi_runs_p0_structure_clean_5fold\20260425_031102,ok,custom,transxnet_t,models.transxnetg,transxnet_t,1e-05,3e-05,True,0.9995,False,TRANSXNETG_aul_p0_clean_f2,custom,transxnet_t,models.transxnetg,transxnet_t,1e-05,3e-05,True,0.9995,True,True,2,1,1,0.827679,0.77,0.7843137254901961,0.7834821428571428,0.7638888888888888,0.8299107142857143,0.78125,0.7857142857142857,25,7,15,55,0.6850393700787402,0.6823275862068966,0.6622340425531915,0.7129310344827586,0.675,0.6896551724137931,27,13,27,60
TRANSXNETG_aul_p0_clean_f3,TRANSXNETG_aul_p0_clean,TransXNet-G,3,17,<LOCAL_THYROID_ROOT>\aul_roi_runs_p0_structure_clean_5fold\20260425_031148,ok,custom,transxnet_t,models.transxnetg,transxnet_t,1e-05,3e-05,True,0.9995,False,TRANSXNETG_aul_p0_clean_f3,custom,transxnet_t,models.transxnetg,transxnet_t,1e-05,3e-05,True,0.9995,True,True,2,2,2,0.763134,0.75,0.7029702970297029,0.7323369565217391,0.6920731707317074,0.7658514492753623,0.8125,0.6521739130434783,26,6,24,45,0.6220472440944882,0.643103448275862,0.6092307692307692,0.7089080459770115,0.7,0.5862068965517241,28,12,36,51
TRANSXNETG_aul_p0_clean_f4,TRANSXNETG_aul_p0_clean,TransXNet-G,4,17,<LOCAL_THYROID_ROOT>\aul_roi_runs_p0_structure_clean_5fold\20260425_031249,ok,custom,transxnet_t,models.transxnetg,transxnet_t,1e-05,3e-05,True,0.9995,False,TRANSXNETG_aul_p0_clean_f4,custom,transxnet_t,models.transxnetg,transxnet_t,1e-05,3e-05,True,0.9995,True,True,2,2,18,0.767663,0.67,0.7623762376237624,0.7339221014492754,0.7299465240641712,0.7622282608695652,0.65625,0.8115942028985508,21,11,13,56,0.6771653543307087,0.6698275862068965,0.6522406999265344,0.6994252873563219,0.65,0.6896551724137931,26,14,27,60
TRANSXNETGG_aul_p0_clean_f0,TRANSXNETGG_aul_p0_clean,TransXNet-GG,0,17,<LOCAL_THYROID_ROOT>\aul_roi_runs_p0_structure_clean_5fold\20260425_031545,ok,custom,transxnet_t,models.transxnetgg,transxnet_t,1e-05,3e-05,True,0.9995,False,TRANSXNETGG_aul_p0_clean_f0,custom,transxnet_t,models.transxnetgg,transxnet_t,1e-05,3e-05,True,0.9995,True,True,2,2,20,0.763393,0.74,0.7647058823529411,0.74375,0.7352941176470589,0.7642857142857143,0.6875,0.8,22,10,14,56,0.6377952755905512,0.6410919540229885,0.6178702250130822,0.6982758620689655,0.65,0.632183908045977,26,14,32,55
TRANSXNETGG_aul_p0_clean_f1,TRANSXNETGG_aul_p0_clean,TransXNet-GG,1,17,<LOCAL_THYROID_ROOT>\aul_roi_runs_p0_structure_clean_5fold\20260425_031916,ok,custom,transxnet_t,models.transxnetgg,transxnet_t,1e-05,3e-05,True,0.9995,False,TRANSXNETGG_aul_p0_clean_f1,custom,transxnet_t,models.transxnetgg,transxnet_t,1e-05,3e-05,True,0.9995,True,True,2,1,1,0.636161,0.67,0.6568627450980392,0.6397321428571429,0.6266861863431977,0.6129464285714286,0.59375,0.6857142857142857,19,13,22,48,0.7165354330708661,0.6783045977011495,0.6758366420873512,0.6931034482758621,0.575,0.7816091954022989,23,17,19,68
TRANSXNETGG_aul_p0_clean_f2,TRANSXNETGG_aul_p0_clean,TransXNet-GG,2,17,<LOCAL_THYROID_ROOT>\aul_roi_runs_p0_structure_clean_5fold\20260425_032018,ok,custom,transxnet_t,models.transxnetgg,transxnet_t,1e-05,3e-05,True,0.9995,False,TRANSXNETGG_aul_p0_clean_f2,custom,transxnet_t,models.transxnetgg,transxnet_t,1e-05,3e-05,True,0.9995,True,True,2,2,3,0.813839,0.71,0.7941176470588235,0.7566964285714286,0.7588652482269503,0.8080357142857142,0.65625,0.8571428571428571,21,11,10,60,0.7244094488188977,0.6772988505747126,0.6784810126582279,0.7008620689655174,0.55,0.8045977011494253,22,18,17,70
TRANSXNETGG_aul_p0_clean_f3,TRANSXNETGG_aul_p0_clean,TransXNet-GG,3,17,<LOCAL_THYROID_ROOT>\aul_roi_runs_p0_structure_clean_5fold\20260425_032144,ok,custom,transxnet_t,models.transxnetgg,transxnet_t,1e-05,3e-05,True,0.9995,False,TRANSXNETGG_aul_p0_clean_f3,custom,transxnet_t,models.transxnetgg,transxnet_t,1e-05,3e-05,True,0.9995,True,True,2,1,1,0.754529,0.75,0.7029702970297029,0.7323369565217391,0.6920731707317074,0.7572463768115941,0.8125,0.6521739130434783,26,6,24,45,0.5984251968503937,0.6258620689655172,0.5882128552355521,0.693103448275862,0.7,0.5517241379310345,28,12,39,48
TRANSXNETGG_aul_p0_clean_f4,TRANSXNETGG_aul_p0_clean,TransXNet-GG,4,17,<LOCAL_THYROID_ROOT>\aul_roi_runs_p0_structure_clean_5fold\20260425_032247,ok,custom,transxnet_t,models.transxnetgg,transxnet_t,1e-05,3e-05,True,0.9995,False,TRANSXNETGG_aul_p0_clean_f4,custom,transxnet_t,models.transxnetgg,transxnet_t,1e-05,3e-05,True,0.9995,True,True,2,2,11,0.75317,0.75,0.7524752475247525,0.7182971014492754,0.7164514317798989,0.7527173913043479,0.625,0.8115942028985508,20,12,13,56,0.6535433070866141,0.6525862068965518,0.6315928270042194,0.7005747126436782,0.65,0.6551724137931034,26,14,30,57
