name,base_name,display_name_cfg,fold_idx,seed,run_dir,status,model_family_cfg,backbone_name_cfg,backbone_module_cfg,backbone_func_cfg,backbone_lr_cfg,head_lr_cfg,use_ema_cfg,ema_decay_cfg,use_class_weight_cfg,param_tag,model_family,backbone_name,backbone_module,backbone_func,backbone_lr,head_lr,use_ema,ema_decay,use_hflip_tta,use_temperature_scaling,ensemble_topk_requested,ensemble_ckpts_used,best_epoch_by_runtime,best_score_by_runtime,selected_threshold,val_acc,val_bal_acc,val_f1_macro,val_auc,val_recall_0,val_recall_1,val_tn,val_fp,val_fn,val_tp,test_acc,test_bal_acc,test_f1_macro,test_auc,test_recall_0,test_recall_1,test_tn,test_fp,test_fn,test_tp
TRANSXNET_busi_p0_clean_f0,TRANSXNET_busi_p0_clean,TransXNet,0,17,<LOCAL_THYROID_ROOT>\busi_roi_runs_p0_structure_clean_5fold\20260425_034845,ok,custom,transxnet_t,models.transxnet,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNET_busi_p0_clean_f0,custom,transxnet_t,models.transxnet,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,52,0.817227,0.26,0.7307692307692307,0.7546218487394958,0.7204301075268817,0.8121848739495798,0.6857142857142857,0.8235294117647058,48,22,6,28,0.6666666666666666,0.6789819376026273,0.6525524585029752,0.7230432402846195,0.6436781609195402,0.7142857142857143,56,31,12,30
TRANSXNET_busi_p0_clean_f1,TRANSXNET_busi_p0_clean,TransXNet,1,17,<LOCAL_THYROID_ROOT>\busi_roi_runs_p0_structure_clean_5fold\20260425_040142,ok,custom,transxnet_t,models.transxnet,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNET_busi_p0_clean_f1,custom,transxnet_t,models.transxnet,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,27,0.765966,0.34,0.7692307692307693,0.7453781512605042,0.7416149068322981,0.7693277310924369,0.8142857142857143,0.6764705882352942,57,13,11,23,0.7131782945736435,0.6580459770114943,0.6624708295028641,0.7370005473453749,0.8160919540229885,0.5,71,16,21,21
TRANSXNET_busi_p0_clean_f2,TRANSXNET_busi_p0_clean,TransXNet,2,17,<LOCAL_THYROID_ROOT>\busi_roi_runs_p0_structure_clean_5fold\20260425_041127,ok,custom,transxnet_t,models.transxnet,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNET_busi_p0_clean_f2,custom,transxnet_t,models.transxnet,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,28,0.798319,0.3,0.7403846153846154,0.7466386554621849,0.7244627612599353,0.7970588235294117,0.7285714285714285,0.7647058823529411,51,19,8,26,0.7054263565891473,0.6707717569786535,0.6686046511627908,0.7380952380952381,0.7701149425287356,0.5714285714285714,67,20,18,24
TRANSXNET_busi_p0_clean_f3,TRANSXNET_busi_p0_clean,TransXNet,3,17,<LOCAL_THYROID_ROOT>\busi_roi_runs_p0_structure_clean_5fold\20260425_042049,ok,custom,transxnet_t,models.transxnet,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNET_busi_p0_clean_f3,custom,transxnet_t,models.transxnet,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,11,0.754545,0.55,0.6990291262135923,0.7145021645021645,0.6846419753086419,0.7523809523809524,0.6714285714285714,0.7575757575757576,47,23,8,25,0.5658914728682171,0.5857963875205254,0.5562653562653562,0.6830870279146141,0.5287356321839081,0.6428571428571429,46,41,15,27
TRANSXNET_busi_p0_clean_f4,TRANSXNET_busi_p0_clean,TransXNet,4,17,<LOCAL_THYROID_ROOT>\busi_roi_runs_p0_structure_clean_5fold\20260425_042737,ok,custom,transxnet_t,models.transxnet,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNET_busi_p0_clean_f4,custom,transxnet_t,models.transxnet,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,22,0.7671,0.4,0.7475728155339806,0.7261904761904762,0.7186974789915966,0.7670995670995672,0.7857142857142857,0.6666666666666666,55,15,11,22,0.7596899224806202,0.6863711001642037,0.698802440310311,0.7323481116584565,0.896551724137931,0.47619047619047616,78,9,22,20
TRANSXNETG_busi_p0_clean_f0,TRANSXNETG_busi_p0_clean,TransXNet-G,0,17,<LOCAL_THYROID_ROOT>\busi_roi_runs_p0_structure_clean_5fold\20260425_043600,ok,custom,transxnet_t,models.transxnetg,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETG_busi_p0_clean_f0,custom,transxnet_t,models.transxnetg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,73,0.819748,0.26,0.7403846153846154,0.7466386554621849,0.7244627612599353,0.819327731092437,0.7285714285714285,0.7647058823529411,51,19,8,26,0.6821705426356589,0.6904761904761905,0.6664564545626537,0.7383689107827038,0.6666666666666666,0.7142857142857143,58,29,12,30
TRANSXNETG_busi_p0_clean_f1,TRANSXNETG_busi_p0_clean,TransXNet-G,1,17,<LOCAL_THYROID_ROOT>\busi_roi_runs_p0_structure_clean_5fold\20260425_045317,ok,custom,transxnet_t,models.transxnetg,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETG_busi_p0_clean_f1,custom,transxnet_t,models.transxnetg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,66,0.780252,0.29,0.7115384615384616,0.7176470588235294,0.6953125,0.780672268907563,0.7,0.7352941176470589,49,21,9,25,0.689922480620155,0.6839080459770115,0.6682098765432098,0.7359058565955118,0.7011494252873564,0.6666666666666666,61,26,14,28
TRANSXNETG_busi_p0_clean_f2,TRANSXNETG_busi_p0_clean,TransXNet-G,2,17,<LOCAL_THYROID_ROOT>\busi_roi_runs_p0_structure_clean_5fold\20260425_050845,ok,custom,transxnet_t,models.transxnetg,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETG_busi_p0_clean_f2,custom,transxnet_t,models.transxnetg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,44,0.794958,0.34,0.7596153846153846,0.7306722689075631,0.7289125221561881,0.788235294117647,0.8142857142857143,0.6470588235294118,57,13,12,22,0.7364341085271318,0.6691297208538587,0.6778789659224442,0.7476737821565408,0.8620689655172413,0.47619047619047616,75,12,22,20
TRANSXNETG_busi_p0_clean_f3,TRANSXNETG_busi_p0_clean,TransXNet-G,3,17,<LOCAL_THYROID_ROOT>\busi_roi_runs_p0_structure_clean_5fold\20260425_052020,ok,custom,transxnet_t,models.transxnetg,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETG_busi_p0_clean_f3,custom,transxnet_t,models.transxnetg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,12,0.757576,0.58,0.7281553398058253,0.7119047619047618,0.701077943615257,0.755844155844156,0.7571428571428571,0.6666666666666666,53,17,11,22,0.627906976744186,0.6194581280788177,0.6051020408163266,0.6863711001642037,0.6436781609195402,0.5952380952380952,56,31,17,25
TRANSXNETG_busi_p0_clean_f4,TRANSXNETG_busi_p0_clean,TransXNet-G,4,17,<LOCAL_THYROID_ROOT>\busi_roi_runs_p0_structure_clean_5fold\20260425_052721,ok,custom,transxnet_t,models.transxnetg,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETG_busi_p0_clean_f4,custom,transxnet_t,models.transxnetg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,31,0.776623,0.41,0.7766990291262136,0.7316017316017316,0.737040737040737,0.7744588744588744,0.8571428571428571,0.6060606060606061,60,10,13,20,0.7674418604651163,0.6798029556650246,0.6946022727272727,0.7372742200328408,0.9310344827586207,0.42857142857142855,81,6,24,18
TRANSXNETGG_busi_p0_clean_f0,TRANSXNETGG_busi_p0_clean,TransXNet-GG,0,17,<LOCAL_THYROID_ROOT>\busi_roi_runs_p0_structure_clean_5fold\20260425_053713,ok,custom,transxnet_t,models.transxnetgg,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETGG_busi_p0_clean_f0,custom,transxnet_t,models.transxnetgg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,200,0.847479,0.49,0.7692307692307693,0.7907563025210084,0.7584204413472706,0.8529411764705883,0.7285714285714285,0.8529411764705882,51,19,5,29,0.7286821705426356,0.7495894909688013,0.7171938615721891,0.7991242474001095,0.6896551724137931,0.8095238095238095,60,27,8,34
TRANSXNETGG_busi_p0_clean_f1,TRANSXNETGG_busi_p0_clean,TransXNet-GG,1,17,<LOCAL_THYROID_ROOT>\busi_roi_runs_p0_structure_clean_5fold\20260425_061054,ok,custom,transxnet_t,models.transxnetgg,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETGG_busi_p0_clean_f1,custom,transxnet_t,models.transxnetgg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,56,0.795378,0.51,0.7788461538461539,0.7600840336134453,0.7540865631746685,0.7836134453781513,0.8142857142857143,0.7058823529411765,57,13,10,24,0.7209302325581395,0.6822660098522167,0.6822660098522167,0.770935960591133,0.7931034482758621,0.5714285714285714,69,18,18,24
TRANSXNETGG_busi_p0_clean_f2,TRANSXNETGG_busi_p0_clean,TransXNet-GG,2,17,<LOCAL_THYROID_ROOT>\busi_roi_runs_p0_structure_clean_5fold\20260425_062532,ok,custom,transxnet_t,models.transxnetgg,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETGG_busi_p0_clean_f2,custom,transxnet_t,models.transxnetgg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,195,0.797059,0.6,0.7692307692307693,0.7680672268907562,0.7511961722488039,0.7920168067226891,0.7714285714285715,0.7647058823529411,54,16,8,26,0.751937984496124,0.7114121510673235,0.7139689578713969,0.7909140667761358,0.8275862068965517,0.5952380952380952,72,15,17,25
TRANSXNETGG_busi_p0_clean_f3,TRANSXNETGG_busi_p0_clean,TransXNet-GG,3,17,<LOCAL_THYROID_ROOT>\busi_roi_runs_p0_structure_clean_5fold\20260425_065716,ok,custom,transxnet_t,models.transxnetgg,transxnet_t,5e-05,0.00015,True,0.9995,True,TRANSXNETGG_busi_p0_clean_f3,custom,transxnet_t,models.transxnetgg,transxnet_t,5e-05,0.00015,True,0.9995,True,True,3,3,15,0.755844,0.56,0.7281553398058253,0.687878787878788,0.687878787878788,0.7567099567099567,0.8,0.5757575757575758,56,14,14,19,0.6976744186046512,0.646551724137931,0.6490897677338355,0.700328407224959,0.7931034482758621,0.5,69,18,21,21
