dataset,model,model_dir,prediction_csv,n,n_neg,n_pos,threshold,auc,auc_ci_low,auc_ci_high,auc_ci_str,bal_acc,bal_acc_ci_low,bal_acc_ci_high,bal_acc_ci_str,f1,f1_ci_low,f1_ci_high,f1_ci_str,acc,acc_ci_low,acc_ci_high,acc_ci_str,sens,sens_ci_low,sens_ci_high,sens_ci_str,spec,spec_ci_low,spec_ci_high,spec_ci_str
AUL,Swin-T,C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_roi_compare_5models_5fold_logs\20260404_235703\model_level\SWINT_aul_bin_autoCW_exp030,C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_roi_compare_5models_5fold_logs\20260404_235703\model_level\SWINT_aul_bin_autoCW_exp030\test_ensemble_predictions.csv,127,44,83,0.76,0.836801752464403,0.751369112814896,0.9074548192771085,"0.8368 [0.7514, 0.9075]",0.7792990142387732,0.6983844468784228,0.8548740416210296,"0.7793 [0.6984, 0.8549]",0.7762872628726287,0.6973101804562478,0.8497041420118343,"0.7763 [0.6973, 0.8497]",0.7952755905511811,0.7244094488188977,0.8661417322834646,"0.7953 [0.7244, 0.8661]",0.8313253012048193,0.7469879518072289,0.9036144578313253,"0.8313 [0.7470, 0.9036]",0.7272727272727273,0.5909090909090909,0.8636363636363636,"0.7273 [0.5909, 0.8636]"
AUL,Ours,C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_roi_compare_5models_5fold_logs\20260404_235703\model_level\OURS_aul_bin_autoCW_exp030,C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_roi_compare_5models_5fold_logs\20260404_235703\model_level\OURS_aul_bin_autoCW_exp030\test_ensemble_predictions.csv,127,44,83,0.78,0.8214676889375685,0.7313732201533406,0.9038882803943045,"0.8215 [0.7314, 0.9039]",0.7987404162102957,0.7191949616648412,0.8743804764512598,"0.7987 [0.7192, 0.8744]",0.8096767287518732,0.7298638684061259,0.883675051081519,"0.8097 [0.7299, 0.8837]",0.8346456692913385,0.7716535433070866,0.8976377952755905,"0.8346 [0.7717, 0.8976]",0.9156626506024096,0.8554216867469879,0.963855421686747,"0.9157 [0.8554, 0.9639]",0.6818181818181818,0.5454545454545454,0.8181818181818182,"0.6818 [0.5455, 0.8182]"
AUL,MobileNetV3-Large,C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_roi_compare_5models_5fold_logs\20260404_235703\model_level\MBV3_aul_bin_autoCW_exp030,C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_roi_compare_5models_5fold_logs\20260404_235703\model_level\MBV3_aul_bin_autoCW_exp030\test_ensemble_predictions.csv,127,44,83,0.72,0.7387732749178533,0.6426615553121577,0.8222960021905805,"0.7388 [0.6427, 0.8223]",0.6889375684556407,0.6033680175246441,0.7698521358159913,"0.6889 [0.6034, 0.7699]",0.667178012144455,0.5859708333895994,0.7444858173827799,"0.6672 [0.5860, 0.7445]",0.6771653543307087,0.5905511811023622,0.7559055118110236,"0.6772 [0.5906, 0.7559]",0.6506024096385542,0.5421686746987951,0.7469879518072289,"0.6506 [0.5422, 0.7470]",0.7272727272727273,0.5909090909090909,0.8409090909090909,"0.7273 [0.5909, 0.8409]"
AUL,EfficientNet-B0,C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_roi_compare_5models_5fold_logs\20260404_235703\model_level\EFFB0_aul_bin_autoCW_exp030,C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_roi_compare_5models_5fold_logs\20260404_235703\model_level\EFFB0_aul_bin_autoCW_exp030\test_ensemble_predictions.csv,127,44,83,0.75,0.6434830230010953,0.5457283680175246,0.741251369112815,"0.6435 [0.5457, 0.7413]",0.583105147864184,0.5121851040525739,0.6540251916757941,"0.5831 [0.5122, 0.6540]",0.5008422234699608,0.42023673947999873,0.5747767857142857,"0.5008 [0.4202, 0.5748]",0.5039370078740157,0.4330708661417323,0.5748031496062992,"0.5039 [0.4331, 0.5748]",0.3253012048192771,0.2289156626506024,0.43373493975903615,"0.3253 [0.2289, 0.4337]",0.8409090909090909,0.7272727272727273,0.9318181818181818,"0.8409 [0.7273, 0.9318]"
AUL,ResNet50,C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_roi_compare_5models_5fold_logs\20260404_235703\model_level\RESNET50_aul_bin_autoCW_exp030,C:\Users\Afr1ste\PycharmProjects\Thyroid\aul_roi_compare_5models_5fold_logs\20260404_235703\model_level\RESNET50_aul_bin_autoCW_exp030\test_ensemble_predictions.csv,127,44,83,0.72,0.5553121577217962,0.4422165936473166,0.6684008762322016,"0.5553 [0.4422, 0.6684]",0.4894578313253012,0.4131811336254107,0.5724431818181818,"0.4895 [0.4132, 0.5724]",0.4021841461118434,0.3262384148290189,0.4835783547075383,"0.4022 [0.3262, 0.4836]",0.4094488188976378,0.33858267716535434,0.4881889763779528,"0.4094 [0.3386, 0.4882]",0.2289156626506024,0.14457831325301204,0.3253012048192771,"0.2289 [0.1446, 0.3253]",0.75,0.6136363636363636,0.8863636363636364,"0.7500 [0.6136, 0.8864]"
BUSI,Ours,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_compare_5models_5fold_logs\20260403_083238\model_level\OURS_autoCW_exp030,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_compare_5models_5fold_logs\20260403_083238\model_level\OURS_autoCW_exp030\test_ensemble_predictions.csv,129,91,38,0.47,0.8528050896471949,0.7677486986697513,0.9256868131868132,"0.8528 [0.7677, 0.9257]",0.7738577212261423,0.6937536148062464,0.8484673221515326,"0.7739 [0.6938, 0.8485]",0.7440476190476191,0.6686046511627908,0.815776946616797,"0.7440 [0.6686, 0.8158]",0.7674418604651163,0.6976744186046512,0.8372093023255814,"0.7674 [0.6977, 0.8372]",0.7894736842105263,0.6578947368421053,0.9210526315789473,"0.7895 [0.6579, 0.9211]",0.7582417582417582,0.6703296703296703,0.8461538461538461,"0.7582 [0.6703, 0.8462]"
BUSI,Swin-T,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_compare_5models_5fold_logs\20260403_083238\model_level\SWINT_autoCW_exp030,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_compare_5models_5fold_logs\20260403_083238\model_level\SWINT_autoCW_exp030\test_ensemble_predictions.csv,129,91,38,0.38,0.8256217466743783,0.7368421052631579,0.8984962406015037,"0.8256 [0.7368, 0.8985]",0.7508675534991325,0.6619433198380567,0.8298149219201851,"0.7509 [0.6619, 0.8298]",0.7352216748768473,0.6508547008547008,0.8102941176470588,"0.7352 [0.6509, 0.8103]",0.7674418604651163,0.689922480620155,0.8372093023255814,"0.7674 [0.6899, 0.8372]",0.7105263157894737,0.5526315789473685,0.8421052631578947,"0.7105 [0.5526, 0.8421]",0.7912087912087912,0.7140109890109891,0.8681318681318682,"0.7912 [0.7140, 0.8681]"
BUSI,MobileNetV3-Large,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_compare_5models_5fold_logs\20260403_083238\model_level\MBV3_autoCW_exp030,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_compare_5models_5fold_logs\20260403_083238\model_level\MBV3_autoCW_exp030\test_ensemble_predictions.csv,129,91,38,0.3,0.8126084441873915,0.7293233082706767,0.8889531521110468,"0.8126 [0.7293, 0.8890]",0.7387218045112782,0.657460960092539,0.8188259109311742,"0.7387 [0.6575, 0.8188]",0.7057673509286413,0.6283394447354635,0.7855860647563326,"0.7058 [0.6283, 0.7856]",0.7286821705426356,0.6511627906976745,0.8062015503875969,"0.7287 [0.6512, 0.8062]",0.7631578947368421,0.631578947368421,0.8947368421052632,"0.7632 [0.6316, 0.8947]",0.7142857142857143,0.6263736263736264,0.8021978021978022,"0.7143 [0.6264, 0.8022]"
BUSI,EfficientNet-B0,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_compare_5models_5fold_logs\20260403_083238\model_level\EFFB0_autoCW_exp030,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_compare_5models_5fold_logs\20260403_083238\model_level\EFFB0_autoCW_exp030\test_ensemble_predictions.csv,129,91,38,0.37,0.7819548872180451,0.6911509543088491,0.868131868131868,"0.7820 [0.6912, 0.8681]",0.723395026026605,0.6367842683632157,0.8111625216888374,"0.7234 [0.6368, 0.8112]",0.6998204906588659,0.6184413580246914,0.7832224238757814,"0.6998 [0.6184, 0.7832]",0.7286821705426356,0.6511627906976745,0.8062015503875969,"0.7287 [0.6512, 0.8062]",0.7105263157894737,0.5789473684210527,0.8421052631578947,"0.7105 [0.5789, 0.8421]",0.7362637362637363,0.6483516483516484,0.8241758241758241,"0.7363 [0.6484, 0.8242]"
BUSI,ResNet50,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_compare_5models_5fold_logs\20260403_083238\model_level\RESNET50_autoCW_exp030,C:\Users\Afr1ste\PycharmProjects\Thyroid\busi_compare_5models_5fold_logs\20260403_083238\model_level\RESNET50_autoCW_exp030\test_ensemble_predictions.csv,129,91,38,0.3,0.7793522267206477,0.6784196067090804,0.8687174667437826,"0.7794 [0.6784, 0.8687]",0.6914401388085598,0.6080104106419896,0.7715442452284558,"0.6914 [0.6080, 0.7715]",0.6386554621848739,0.5599415204678363,0.7152677051144605,"0.6387 [0.5599, 0.7153]",0.6511627906976745,0.5736434108527132,0.7286821705426356,"0.6512 [0.5736, 0.7287]",0.7894736842105263,0.6578947368421053,0.9210526315789473,"0.7895 [0.6579, 0.9211]",0.5934065934065934,0.4945054945054945,0.6923076923076923,"0.5934 [0.4945, 0.6923]"
