dataset,comparison,metric,n_folds,mean_delta,std_delta,ci_low,ci_high
BUSI,auto-full,auc,5,0.0988011988011988,0.015439010187373838,0.08326673326673324,0.10999000999000999
BUSI,auto-full,bal_acc,5,0.08566433566433566,0.029357608040015564,0.05921578421578422,0.10986513486513486
BUSI,auto-full,f1_macro,5,0.09775641682741579,0.03622122779914597,0.06729889150927904,0.13075847702425694
BUSI,auto-full,acc,5,0.10077519379844961,0.034667720581392086,0.07441860465116276,0.13488372093023254
BUSI,auto-full,ece_10,5,-0.01120423968040291,0.024543132590305307,-0.03422470923744201,0.008262807228999547
BUSI,auto-full,brier,5,-0.06831053329005642,0.0132144880299538,-0.07796925709036026,-0.05610105865012395
BUSI,auto-oracle,auc,5,-0.027272727272727247,0.005728815630095252,-0.032117882117882066,-0.02242757242757243
BUSI,auto-oracle,bal_acc,5,-0.01221278721278718,0.026346153727777544,-0.032317682317682304,0.012112887112887095
BUSI,auto-oracle,f1_macro,5,-0.012528176986974105,0.025202090884072634,-0.03221896196862071,0.011322941642023233
BUSI,auto-oracle,acc,5,-0.010852713178294593,0.02278595109565751,-0.03100775193798455,0.007751937984496138
BUSI,auto-oracle,ece_10,5,-0.005177460545168605,0.028018766171171716,-0.028072694933056374,0.01786196764067622
BUSI,auto-oracle,brier,5,0.016897324810444137,0.004907573310193011,0.012650056832973494,0.02114459278791478
AUL,auto-full,auc,5,0.10657640232108319,0.024706957190385227,0.08658929722759509,0.12869116698903937
AUL,auto-full,bal_acc,5,0.07885235332043843,0.021296954095780796,0.062088974854932276,0.0981302385557705
AUL,auto-full,f1_macro,5,0.012118819541151127,0.055777295400920475,-0.03965180727561126,0.057969700642281574
AUL,auto-full,acc,5,-0.03464566929133859,0.07140651369294258,-0.09921259842519685,0.025196850393700787
AUL,auto-full,ece_10,5,0.04415461622823881,0.04551962012329344,0.004265683607792311,0.08404354884868531
AUL,auto-full,brier,5,-0.027242080143608453,0.006606682815500481,-0.032909747436756454,-0.021609687592386594
AUL,auto-oracle,auc,5,-0.026047711154094055,0.02199838548878834,-0.04474532559638933,-0.0065764023210830745
AUL,auto-oracle,bal_acc,5,-0.06067053513862024,0.028474942084723016,-0.0841715022566086,-0.033655705996131526
AUL,auto-oracle,f1_macro,5,-0.055354143729918,0.034593293194027736,-0.0892753339025812,-0.02726762840006598
AUL,auto-oracle,acc,5,-0.05196850393700787,0.04094488188976378,-0.08976377952755905,-0.02204724409448817
AUL,auto-oracle,ece_10,5,-0.015417122324620624,0.031140444548056787,-0.0441135537436628,0.011410159201133955
AUL,auto-oracle,brier,5,0.0024657502946397124,0.004244899345603033,-0.0015492763019048616,0.005882220202439409
