dataset,mode,metric,n_folds,mean,std,ci_low,ci_high
BUSI,oracle,auc,5,0.8997502497502498,0.011561683324019412,0.887962037962038,0.9067432567432567
BUSI,oracle,bal_acc,5,0.7960789210789211,0.010351236479695842,0.7864635364635364,0.8044955044955044
BUSI,oracle,f1_macro,5,0.8017783814615119,0.01191076417290452,0.7923063027653617,0.8118215708716829
BUSI,oracle,acc,5,0.813953488372093,0.012971473279598094,0.8031007751937984,0.8263565891472868
BUSI,oracle,ece_10,5,0.06957342292871616,0.012403086764204698,0.058562541991840446,0.07958010491922267
BUSI,oracle,brier,5,0.13584184221455955,0.0017240953575830206,0.13413058161534305,0.137176911980219
BUSI,auto,auc,5,0.8724775224775225,0.015826048840199888,0.8563936063936064,0.8845154845154845
BUSI,auto,bal_acc,5,0.7838661338661339,0.017936241545254094,0.7704045954045954,0.8009740259740259
BUSI,auto,f1_macro,5,0.7892502044745379,0.017580746394143577,0.7760433237907747,0.8068434880617121
BUSI,auto,acc,5,0.8031007751937984,0.016698185448479112,0.7891472868217054,0.8186046511627907
BUSI,auto,ece_10,5,0.06439596238354754,0.023819226922898597,0.04523679795656931,0.08683803300788379
BUSI,auto,brier,5,0.1527391670250037,0.004415542355247809,0.14851234270612115,0.15631852548096573
BUSI,full,auc,5,0.7736763236763237,0.004401276877504596,0.7701298701298702,0.7776723276723276
BUSI,full,bal_acc,5,0.6982017982017982,0.02366117047342894,0.6762331418581419,0.7177822177822177
BUSI,full,f1_macro,5,0.6914937876471221,0.03777608173741151,0.654046931535593,0.717653103398474
BUSI,full,acc,5,0.7023255813953488,0.041774243675372025,0.6604651162790698,0.7286821705426356
BUSI,full,ece_10,5,0.07560020206395046,0.01784004694317474,0.05768880382064702,0.0878670579414497
BUSI,full,brier,5,0.2210497003150601,0.01076490407176679,0.21024449110152293,0.22752190204580544
AUL,oracle,auc,5,0.8767246937459703,0.0009475782370534462,0.875886524822695,0.8775628626692455
AUL,oracle,bal_acc,5,0.8200193423597679,0.048734985173785605,0.775531914893617,0.8598968407479046
AUL,oracle,f1_macro,5,0.746195009061694,0.040537855480539314,0.7115942748295517,0.7808142122727677
AUL,oracle,acc,5,0.768503937007874,0.041843559860114725,0.7307086614173228,0.8031496062992126
AUL,oracle,ece_10,5,0.12826644365243087,0.03746010902934754,0.09163041659227505,0.15548369898570802
AUL,oracle,brier,5,0.1596631659974661,0.004327011360825371,0.1556898101835486,0.16327853460849856
AUL,auto,auc,5,0.8506769825918762,0.022176240182288236,0.8320438426821406,0.8707930367504836
AUL,auto,bal_acc,5,0.7593488072211476,0.028847940619735793,0.7339780786589297,0.7847195357833656
AUL,auto,f1_macro,5,0.690840865331776,0.0561092239450383,0.6415983077954909,0.7400834228680612
AUL,auto,acc,5,0.7165354330708661,0.07130224518218438,0.6551181102362205,0.7763779527559055
AUL,auto,ece_10,5,0.11284932132781023,0.0385596657404039,0.07971125794207959,0.14824955730926337
AUL,auto,brier,5,0.1621289162921058,0.006663362041654619,0.15592912818287413,0.16760881248509277
AUL,full,auc,5,0.7441005802707931,0.01113264411129022,0.7343649258542876,0.7538362346872985
AUL,full,bal_acc,5,0.6804964539007092,0.021403554163145683,0.662314635718891,0.6999032882011605
AUL,full,f1_macro,5,0.6787220457906249,0.020335337118203387,0.6611495903920825,0.6962945011891672
AUL,full,acc,5,0.7511811023622047,0.01902841885605441,0.7338582677165355,0.7669291338582677
AUL,full,ece_10,5,0.06869470509957142,0.0342096804401013,0.03955554192460428,0.09933406968755047
AUL,full,brier,5,0.18937099643571426,0.0019518019412196512,0.18797940507561742,0.19130132100088162
