mode,phase,phase_index,total,correct,accuracy,balanced_accuracy,f1_macro,auc,avg_preprocess_ms,avg_inference_ms,avg_total_ms,p50_total_ms,p95_total_ms,total_runtime_sec,peak_java_heap_mb,peak_native_heap_mb,model_mb,mode_prepare_ms,csv_path,summary_path
EffFormer-L1+KD,hot,1,1000,910,0.910000,0.890803,0.889114,0.963433,1.142184,55.504856,56.647040,49.297110,106.448007,62.400364,116.624359,100.875580,44.303047,91.011406,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_174443/effformer-l1+kd_hot1.csv,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_174443/effformer-l1+kd_hot1_summary.txt
EffFormer-L1+KD,hot,2,1000,910,0.910000,0.890803,0.889114,0.963433,1.269713,53.567477,54.837190,55.623984,57.788749,60.966540,12.321747,91.112747,44.303047,0.000000,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_174443/effformer-l1+kd_hot2.csv,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_174443/effformer-l1+kd_hot2_summary.txt
EffFormer-L1+KD,hot,3,1000,910,0.910000,0.890803,0.889114,0.963433,1.284771,54.788945,56.073717,55.894401,58.122519,61.976999,12.361526,90.627258,44.303047,0.000000,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_174443/effformer-l1+kd_hot3.csv,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_174443/effformer-l1+kd_hot3_summary.txt
EffFormer-L1+KD,hot,4,1000,910,0.910000,0.890803,0.889114,0.963433,1.299750,54.909829,56.209579,55.900833,58.362475,62.035435,12.321747,91.133698,44.303047,0.000000,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_174443/effformer-l1+kd_hot4.csv,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_174443/effformer-l1+kd_hot4_summary.txt
EffFormer-L1+KD,hot,5,1000,910,0.910000,0.890803,0.889114,0.963433,1.288292,54.714490,56.002782,55.865104,57.847410,61.668867,12.361542,90.643356,44.303047,0.000000,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_174443/effformer-l1+kd_hot5.csv,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_174443/effformer-l1+kd_hot5_summary.txt
EffFormer-L1+ECA+KD,hot,1,1000,900,0.900000,0.878429,0.876793,0.957568,1.307661,54.614323,55.921984,55.675182,58.277391,61.554789,116.487244,174.962555,44.304015,91.280156,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_174443/effformer-l1+eca+kd_hot1.csv,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_174443/effformer-l1+eca+kd_hot1_summary.txt
EffFormer-L1+ECA+KD,hot,2,1000,900,0.900000,0.878429,0.876793,0.957568,1.305678,55.030721,56.336400,56.141094,58.438794,61.926988,12.365448,153.486679,44.304015,0.000000,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_174443/effformer-l1+eca+kd_hot2.csv,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_174443/effformer-l1+eca+kd_hot2_summary.txt
EffFormer-L1+ECA+KD,hot,3,1000,900,0.900000,0.878429,0.876793,0.957568,1.307720,54.852600,56.160320,55.970755,58.181680,61.708353,12.325653,153.989914,44.304015,0.000000,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_174443/effformer-l1+eca+kd_hot3.csv,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_174443/effformer-l1+eca+kd_hot3_summary.txt
EffFormer-L1+ECA+KD,hot,4,1000,900,0.900000,0.878429,0.876793,0.957568,1.305732,54.882913,56.188645,55.948567,58.336540,61.622430,12.369339,153.490189,44.304015,0.000000,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_174443/effformer-l1+eca+kd_hot4.csv,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_174443/effformer-l1+eca+kd_hot4_summary.txt
EffFormer-L1+ECA+KD,hot,5,1000,900,0.900000,0.878429,0.876793,0.957568,1.308540,54.878004,56.186543,55.851355,58.404966,61.553257,12.329559,153.992355,44.304015,0.000000,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_174443/effformer-l1+eca+kd_hot5.csv,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_174443/effformer-l1+eca+kd_hot5_summary.txt
