mode,phase,phase_index,total,correct,accuracy,balanced_accuracy,f1_macro,auc,avg_preprocess_ms,avg_inference_ms,avg_total_ms,p50_total_ms,p95_total_ms,total_runtime_sec,peak_java_heap_mb,peak_native_heap_mb,model_mb,mode_prepare_ms,csv_path,summary_path
GGG-MCA,hot,1,1000,890,0.890000,0.868223,0.865047,0.943318,1.479778,106.270768,107.750547,108.863125,115.596383,111.225883,185.506798,219.827805,53.458024,626.029688,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_150734/ggg-mca_hot1.csv,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_150734/ggg-mca_hot1_summary.txt
GGG-MCA,hot,2,1000,890,0.890000,0.868223,0.865047,0.943318,1.737028,173.549183,175.286211,113.307058,127.908617,179.294035,33.352325,196.455704,53.458024,0.000000,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_150734/ggg-mca_hot2.csv,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_150734/ggg-mca_hot2_summary.txt
GGG-MCA,hot,3,1000,890,0.890000,0.868223,0.865047,0.943318,1.802099,120.212536,122.014634,120.742032,131.545219,126.131873,30.387756,198.458527,53.458024,0.000000,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_150734/ggg-mca_hot3.csv,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_150734/ggg-mca_hot3_summary.txt
GGG-MCA,hot,4,1000,890,0.890000,0.868223,0.865047,0.943318,1.806630,123.238955,125.045585,121.509870,158.805495,129.080949,30.401619,196.069290,53.458024,0.000000,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_150734/ggg-mca_hot4.csv,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_150734/ggg-mca_hot4_summary.txt
GGG-MCA,hot,5,1000,890,0.890000,0.868223,0.865047,0.943318,1.771774,120.885657,122.657431,121.827760,128.466240,126.710914,30.539253,197.426483,53.458024,0.000000,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_150734/ggg-mca_hot5.csv,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_150734/ggg-mca_hot5_summary.txt
EffFormer-L1+KD,hot,1,1000,910,0.910000,0.890803,0.889114,0.963433,1.377837,30.697951,32.075788,31.407683,34.071203,35.578126,144.443886,360.115311,44.303047,72.010417,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_150734/effformer-l1+kd_hot1.csv,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_150734/effformer-l1+kd_hot1_summary.txt
EffFormer-L1+KD,hot,2,1000,910,0.910000,0.890803,0.889114,0.963433,1.430305,31.462004,32.892310,31.245938,39.175480,36.420275,32.396088,266.589722,44.303047,0.000000,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_150734/effformer-l1+kd_hot2.csv,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_150734/effformer-l1+kd_hot2_summary.txt
EffFormer-L1+KD,hot,3,1000,910,0.910000,0.890803,0.889114,0.963433,1.350432,30.968078,32.318510,31.421563,36.726305,35.812630,34.519157,268.695648,44.303047,0.000000,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_150734/effformer-l1+kd_hot3.csv,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_150734/effformer-l1+kd_hot3_summary.txt
EffFormer-L1+KD,hot,4,1000,910,0.910000,0.890803,0.889114,0.963433,1.439772,31.705223,33.144995,31.258073,39.085357,36.689315,30.182686,267.637436,44.303047,0.000000,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_150734/effformer-l1+kd_hot4.csv,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_150734/effformer-l1+kd_hot4_summary.txt
EffFormer-L1+KD,hot,5,1000,910,0.910000,0.890803,0.889114,0.963433,1.359790,31.656110,33.015900,31.529635,39.276638,36.535612,30.193565,266.575150,44.303047,0.000000,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_150734/effformer-l1+kd_hot5.csv,/storage/emulated/0/Android/data/com.afriste.tn5000ortdemo/files/eval_reports/headless_file_batch_20260510_150734/effformer-l1+kd_hot5_summary.txt
