sample_id,split,label,class_name,xml_object_name,orig_filename,filename,width,height,bytes,sha256,dhash64,ahash64,image_relpath
test_benign_0004,test,0,benign,0,benign (4).png,test_benign_0004.png,555,465,329577,6549a0053b9b3ae7efb75d0518494e86c49344469eac7ded25818214121046c9,df47165c4c7c1c38,ffffffff79000000,JPEGImages/test_benign_0004.png
test_benign_0005,test,0,benign,0,benign (5).png,test_benign_0005.png,549,496,363380,d39ae37d754d447a08a4a24fa7a4cd9b47004f4883ddeda47565e8604adbb4d4,5fb24b538b8b8f5b,ffa4fefe3e1c1c00,JPEGImages/test_benign_0005.png
test_benign_0009,test,0,benign,0,benign (9).png,test_benign_0009.png,752,585,330917,78296c46e4c5a7bbb161114b958fd31ba26eb5cad3ea6261917bd7b421e564d2,3666c6e63e1e1a3a,ffcc8cc8f0702000,JPEGImages/test_benign_0009.png
test_benign_0013,test,0,benign,0,benign (13).png,test_benign_0013.png,678,571,360554,f2ab656c0f92d05477373e8d8ba96e7448c8ec58a59b5161b22eff94422402f9,1f3361b1978e8e1f,7effc7033c3c3818,JPEGImages/test_benign_0013.png
test_benign_0014,test,0,benign,0,benign (14).png,test_benign_0014.png,699,531,411209,4bffaa8b1c1d6c6ca926ede76039a59832e5ca7a84e68030f1543eea77c5ab9b,098d6ccd9ddd1d94,0002f99bb1f93839,JPEGImages/test_benign_0014.png
test_benign_0018,test,0,benign,0,benign (18).png,test_benign_0018.png,564,469,299911,dc8d007f2570c7536d7e96320f73f229138fe3486bbbf089ed99f01686b98359,1b99e09c89830707,ffe381203a3e1e0e,JPEGImages/test_benign_0018.png
test_benign_0019,test,0,benign,0,benign (19).png,test_benign_0019.png,663,572,378571,e95dd34636d8536468edcab9af5554e072c82b1e1ab4a7a8e562285d84bc6f26,43c7dd8936180e06,009eff9f2c331000,JPEGImages/test_benign_0019.png
test_benign_0023,test,0,benign,0,benign (23).png,test_benign_0023.png,779,583,462181,9eafad6f09e538cff267e470e0e42b9b76c58478c5a997e075edd8433442f4c8,d8484c99988cac8c,ffd7fff7a3000108,JPEGImages/test_benign_0023.png
test_benign_0026,test,0,benign,0,benign (26).png,test_benign_0026.png,554,471,291077,75e7c68717c1c6301a9e5f2f1123900a5d3ac82339f35e74c7aab6f3ab9eeb16,29e682676e0ccc6d,ff8f04ccf8f9f040,JPEGImages/test_benign_0026.png
test_benign_0029,test,0,benign,0,benign (29).png,test_benign_0029.png,561,462,268799,700522e0b2379b1f9a0a231c2d8b902d6ca2dab6c01c0e25ee57d736cb1bbf36,17341a4f0e4dcc88,fffffd7878100000,JPEGImages/test_benign_0029.png
test_benign_0049,test,0,benign,0,benign (49).png,test_benign_0049.png,777,576,422080,aac9a872a687dd74760f647407193d571c1d218e0d0626cb198d56576ec7130f,18f8f05861231787,ffc30101437e3c1c,JPEGImages/test_benign_0049.png
test_benign_0056,test,0,benign,0,benign (56).png,test_benign_0056.png,806,711,529517,b29ad34b95f06845940f121321747d795cc3263ef4cd215e0299724b1acc3c5a,33dbe319994d4fcb,f7ffcf7f3a100000,JPEGImages/test_benign_0056.png
test_benign_0059,test,0,benign,0,benign (59).png,test_benign_0059.png,563,468,291441,6802f1058a8a31c5ad6de90ef68f21dd6d0e9c393c21de43c1ff2be17accfcfd,c52c393333f1f1f1,fff9f3e606000000,JPEGImages/test_benign_0059.png
test_benign_0081,test,0,benign,0,benign (81).png,test_benign_0081.png,563,464,319792,6b25b8140320aa6e699a8f77a6766890735f84fa777bd8b88d8f23542927a862,70b2f1e9efefe3c0,fffff7c2c8000000,JPEGImages/test_benign_0081.png
test_benign_0087,test,0,benign,0,benign (87).png,test_benign_0087.png,768,571,436199,d9a35a37ab3c028da62fb67ada774934ef98f8e1efffe6e873bb40b9a5792070,e06c65272b216561,ff5f0f6f3f020000,JPEGImages/test_benign_0087.png
test_benign_0100,test,0,benign,0,benign (100).png,test_benign_0100.png,323,473,194677,22fe3fc5bc7366214a53f9e7468c1a297ed49055a889b1848e5b898c17546ed5,6d81c664e1d0f1e1,ffffbf0002030000,JPEGImages/test_benign_0100.png
test_benign_0102,test,0,benign,0,benign (102).png,test_benign_0102.png,634,610,347683,f90bf5c1123179a7c2544e07727f9fe6829af143dc1479274d19918e5e25f8bb,2a79712ca0f078d8,ffe3e30103010081,JPEGImages/test_benign_0102.png
