dataset,log_file,split,samples,benign,malignant,raw_label_counts
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/EFFB0_autoCW_exp030_s17.log,train,3500,1032,2468,"{1: 2468, 0: 1032}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/EFFB0_autoCW_exp030_s17.log,val,500,122,378,"{1: 378, 0: 122}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/EFFB0_autoCW_exp030_s17.log,test,1000,281,719,"{1: 719, 0: 281}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/EFFB0_autoCW_exp030_s27.log,train,3500,1032,2468,"{1: 2468, 0: 1032}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/EFFB0_autoCW_exp030_s27.log,val,500,122,378,"{1: 378, 0: 122}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/EFFB0_autoCW_exp030_s27.log,test,1000,281,719,"{1: 719, 0: 281}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/EFFB0_autoCW_exp030_s37.log,train,3500,1032,2468,"{1: 2468, 0: 1032}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/EFFB0_autoCW_exp030_s37.log,val,500,122,378,"{1: 378, 0: 122}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/EFFB0_autoCW_exp030_s37.log,test,1000,281,719,"{1: 719, 0: 281}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/MBV3_autoCW_exp030_s17.log,train,3500,1032,2468,"{1: 2468, 0: 1032}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/MBV3_autoCW_exp030_s17.log,val,500,122,378,"{1: 378, 0: 122}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/MBV3_autoCW_exp030_s17.log,test,1000,281,719,"{1: 719, 0: 281}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/MBV3_autoCW_exp030_s27.log,train,3500,1032,2468,"{1: 2468, 0: 1032}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/MBV3_autoCW_exp030_s27.log,val,500,122,378,"{1: 378, 0: 122}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/MBV3_autoCW_exp030_s27.log,test,1000,281,719,"{1: 719, 0: 281}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/MBV3_autoCW_exp030_s37.log,train,3500,1032,2468,"{1: 2468, 0: 1032}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/MBV3_autoCW_exp030_s37.log,val,500,122,378,"{1: 378, 0: 122}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/MBV3_autoCW_exp030_s37.log,test,1000,281,719,"{1: 719, 0: 281}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/OURS_autoCW_exp030_s17.log,train,3500,1032,2468,"{1: 2468, 0: 1032}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/OURS_autoCW_exp030_s17.log,val,500,122,378,"{1: 378, 0: 122}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/OURS_autoCW_exp030_s17.log,test,1000,281,719,"{1: 719, 0: 281}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/OURS_autoCW_exp030_s27.log,train,3500,1032,2468,"{1: 2468, 0: 1032}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/OURS_autoCW_exp030_s27.log,val,500,122,378,"{1: 378, 0: 122}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/OURS_autoCW_exp030_s27.log,test,1000,281,719,"{1: 719, 0: 281}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/OURS_autoCW_exp030_s37.log,train,3500,1032,2468,"{1: 2468, 0: 1032}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/OURS_autoCW_exp030_s37.log,val,500,122,378,"{1: 378, 0: 122}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/OURS_autoCW_exp030_s37.log,test,1000,281,719,"{1: 719, 0: 281}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/RESNET50_autoCW_exp030_s17.log,train,3500,1032,2468,"{1: 2468, 0: 1032}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/RESNET50_autoCW_exp030_s17.log,val,500,122,378,"{1: 378, 0: 122}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/RESNET50_autoCW_exp030_s17.log,test,1000,281,719,"{1: 719, 0: 281}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/RESNET50_autoCW_exp030_s27.log,train,3500,1032,2468,"{1: 2468, 0: 1032}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/RESNET50_autoCW_exp030_s27.log,val,500,122,378,"{1: 378, 0: 122}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/RESNET50_autoCW_exp030_s27.log,test,1000,281,719,"{1: 719, 0: 281}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/RESNET50_autoCW_exp030_s37.log,train,3500,1032,2468,"{1: 2468, 0: 1032}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/RESNET50_autoCW_exp030_s37.log,val,500,122,378,"{1: 378, 0: 122}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/RESNET50_autoCW_exp030_s37.log,test,1000,281,719,"{1: 719, 0: 281}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/SWINT_autoCW_exp030_s17.log,train,3500,1032,2468,"{1: 2468, 0: 1032}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/SWINT_autoCW_exp030_s17.log,val,500,122,378,"{1: 378, 0: 122}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/SWINT_autoCW_exp030_s17.log,test,1000,281,719,"{1: 719, 0: 281}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/SWINT_autoCW_exp030_s27.log,train,3500,1032,2468,"{1: 2468, 0: 1032}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/SWINT_autoCW_exp030_s27.log,val,500,122,378,"{1: 378, 0: 122}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/SWINT_autoCW_exp030_s27.log,test,1000,281,719,"{1: 719, 0: 281}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/SWINT_autoCW_exp030_s37.log,train,3500,1032,2468,"{1: 2468, 0: 1032}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/SWINT_autoCW_exp030_s37.log,val,500,122,378,"{1: 378, 0: 122}"
TN5000,tn5000_compare_5models_3seed_logs/20260402_192605/SWINT_autoCW_exp030_s37.log,test,1000,281,719,"{1: 719, 0: 281}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/EFFB0_autoCW_exp030_f0.log,fold0_train,414,278,136,"{0: 278, 1: 136}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/EFFB0_autoCW_exp030_f0.log,fold0_val,104,66,38,"{0: 66, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/EFFB0_autoCW_exp030_f0.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/EFFB0_autoCW_exp030_f1.log,fold1_train,414,274,140,"{0: 274, 1: 140}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/EFFB0_autoCW_exp030_f1.log,fold1_val,104,70,34,"{0: 70, 1: 34}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/EFFB0_autoCW_exp030_f1.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/EFFB0_autoCW_exp030_f2.log,fold2_train,414,276,138,"{0: 276, 1: 138}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/EFFB0_autoCW_exp030_f2.log,fold2_val,104,68,36,"{0: 68, 1: 36}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/EFFB0_autoCW_exp030_f2.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/EFFB0_autoCW_exp030_f3.log,fold3_train,415,273,142,"{0: 273, 1: 142}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/EFFB0_autoCW_exp030_f3.log,fold3_val,103,71,32,"{0: 71, 1: 32}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/EFFB0_autoCW_exp030_f3.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/EFFB0_autoCW_exp030_f4.log,fold4_train,415,275,140,"{0: 275, 1: 140}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/EFFB0_autoCW_exp030_f4.log,fold4_val,103,69,34,"{0: 69, 1: 34}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/EFFB0_autoCW_exp030_f4.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/MBV3_autoCW_exp030_f0.log,fold0_train,414,278,136,"{0: 278, 1: 136}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/MBV3_autoCW_exp030_f0.log,fold0_val,104,66,38,"{0: 66, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/MBV3_autoCW_exp030_f0.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/MBV3_autoCW_exp030_f1.log,fold1_train,414,274,140,"{0: 274, 1: 140}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/MBV3_autoCW_exp030_f1.log,fold1_val,104,70,34,"{0: 70, 1: 34}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/MBV3_autoCW_exp030_f1.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/MBV3_autoCW_exp030_f2.log,fold2_train,414,276,138,"{0: 276, 1: 138}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/MBV3_autoCW_exp030_f2.log,fold2_val,104,68,36,"{0: 68, 1: 36}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/MBV3_autoCW_exp030_f2.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/MBV3_autoCW_exp030_f3.log,fold3_train,415,273,142,"{0: 273, 1: 142}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/MBV3_autoCW_exp030_f3.log,fold3_val,103,71,32,"{0: 71, 1: 32}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/MBV3_autoCW_exp030_f3.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/MBV3_autoCW_exp030_f4.log,fold4_train,415,275,140,"{0: 275, 1: 140}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/MBV3_autoCW_exp030_f4.log,fold4_val,103,69,34,"{0: 69, 1: 34}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/MBV3_autoCW_exp030_f4.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/OURS_autoCW_exp030_f0.log,fold0_train,414,278,136,"{0: 278, 1: 136}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/OURS_autoCW_exp030_f0.log,fold0_val,104,66,38,"{0: 66, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/OURS_autoCW_exp030_f0.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/OURS_autoCW_exp030_f1.log,fold1_train,414,274,140,"{0: 274, 1: 140}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/OURS_autoCW_exp030_f1.log,fold1_val,104,70,34,"{0: 70, 1: 34}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/OURS_autoCW_exp030_f1.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/OURS_autoCW_exp030_f2.log,fold2_train,414,276,138,"{0: 276, 1: 138}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/OURS_autoCW_exp030_f2.log,fold2_val,104,68,36,"{0: 68, 1: 36}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/OURS_autoCW_exp030_f2.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/OURS_autoCW_exp030_f3.log,fold3_train,415,273,142,"{0: 273, 1: 142}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/OURS_autoCW_exp030_f3.log,fold3_val,103,71,32,"{0: 71, 1: 32}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/OURS_autoCW_exp030_f3.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/OURS_autoCW_exp030_f4.log,fold4_train,415,275,140,"{0: 275, 1: 140}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/OURS_autoCW_exp030_f4.log,fold4_val,103,69,34,"{0: 69, 1: 34}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/OURS_autoCW_exp030_f4.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/RESNET50_autoCW_exp030_f0.log,fold0_train,414,278,136,"{0: 278, 1: 136}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/RESNET50_autoCW_exp030_f0.log,fold0_val,104,66,38,"{0: 66, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/RESNET50_autoCW_exp030_f0.log,test,129,91,38,"{0: 91, 1: 38}"
BUSI,busi_compare_5models_5fold_logs/20260403_083238/RESNET50_autoCW_exp030_f1.log,fold1_train,414,274,140,"{0: 274, 1: 140}"
