dataset,image_id,analysis_label,label_name,split,n_observations,source_count
AUL,benign_000001,0,benign,trainval,3,3
AUL,benign_000002,0,benign,test,3,3
AUL,benign_000003,0,benign,trainval,3,3
AUL,benign_000004,0,benign,trainval,3,3
AUL,benign_000005,0,benign,trainval,3,3
AUL,benign_000006,0,benign,trainval,3,3
AUL,benign_000007,0,benign,trainval,3,3
AUL,benign_000008,0,benign,trainval,3,3
AUL,benign_000009,0,benign,trainval,3,3
AUL,benign_000010,0,benign,trainval,3,3
AUL,benign_000011,0,benign,trainval,3,3
AUL,benign_000012,0,benign,trainval,3,3
AUL,benign_000013,0,benign,trainval,3,3
AUL,benign_000014,1,malignant,trainval,3,3
AUL,benign_000015,0,benign,test,3,3
AUL,benign_000016,0,benign,trainval,3,3
AUL,benign_000017,0,benign,trainval,3,3
AUL,benign_000018,1,malignant,trainval,3,3
AUL,benign_000019,1,malignant,trainval,3,3
AUL,benign_000020,1,malignant,trainval,3,3
AUL,benign_000021,0,benign,test,3,3
AUL,benign_000022,1,malignant,test,3,3
AUL,benign_000023,0,benign,trainval,3,3
AUL,benign_000024,1,malignant,trainval,3,3
AUL,benign_000025,1,malignant,trainval,3,3
AUL,benign_000026,0,benign,trainval,3,3
AUL,benign_000027,0,benign,trainval,3,3
AUL,benign_000028,0,benign,trainval,3,3
AUL,benign_000029,1,malignant,trainval,3,3
AUL,benign_000030,0,benign,trainval,3,3
AUL,benign_000031,0,benign,trainval,3,3
AUL,benign_000032,0,benign,trainval,3,3
AUL,benign_000033,0,benign,trainval,3,3
AUL,benign_000034,0,benign,trainval,3,3
AUL,benign_000035,0,benign,trainval,3,3
AUL,benign_000036,0,benign,trainval,3,3
AUL,benign_000037,0,benign,trainval,3,3
AUL,benign_000038,0,benign,test,3,3
AUL,benign_000039,1,malignant,trainval,3,3
AUL,benign_000040,1,malignant,trainval,3,3
AUL,benign_000041,0,benign,trainval,3,3
AUL,benign_000042,0,benign,trainval,3,3
AUL,benign_000043,0,benign,trainval,3,3
AUL,benign_000044,0,benign,trainval,3,3
AUL,benign_000045,0,benign,trainval,3,3
AUL,benign_000046,0,benign,trainval,3,3
AUL,benign_000047,1,malignant,trainval,3,3
AUL,benign_000048,0,benign,trainval,3,3
AUL,benign_000049,0,benign,test,3,3
