protocol,config,seed,split,domain,n,threshold,auc,acc,bal_acc,f1_macro,specificity_recall0,sensitivity_recall1,ppv,npv,tn,fp,fn,tp
joint_all,effformer_l1,17,val,combined,706,0.49,0.9192684331797236,0.8555240793201133,0.8614823348694316,0.8373492343135926,0.8761904761904762,0.8467741935483871,0.9417040358744395,0.7076923076923077,184,26,76,420
joint_all,effformer_l1,17,val,tn5000,500,0.49,0.9480006939023332,0.896,0.8868071818891491,0.8661890645586298,0.8688524590163934,0.9047619047619048,0.9553072625698324,0.7464788732394366,106,16,36,342
joint_all,effformer_l1,17,val,busi,104,0.49,0.8596491228070176,0.8173076923076923,0.7779106858054226,0.7908330686990579,0.9242424242424242,0.631578947368421,0.8275862068965517,0.8133333333333334,61,5,14,24
joint_all,effformer_l1,17,val,aul,102,0.49,0.790340909090909,0.696078431372549,0.7238636363636364,0.650027670171555,0.7727272727272727,0.675,0.9152542372881356,0.3953488372093023,17,5,26,54
joint_all,effformer_l1,17,test,tn5000,1000,0.49,0.9286276411979865,0.864,0.8468909467974004,0.8365188123572544,0.8078291814946619,0.885952712100139,0.9218523878437048,0.7346278317152104,227,54,82,637
joint_all,effformer_l1,17,test,busi,129,0.49,0.818102949681897,0.8062015503875969,0.7630133024869867,0.7650273224043715,0.8681318681318682,0.6578947368421053,0.6756756756756757,0.8586956521739131,79,12,13,25
joint_all,effformer_l1,17,test,aul,127,0.49,0.8066812705366921,0.7559055118110236,0.7491785323110625,0.7393578285335982,0.7272727272727273,0.7710843373493976,0.8421052631578947,0.6274509803921569,32,12,19,64
joint_all,effformer_l1,27,val,combined,706,0.43,0.9049539170506913,0.8356940509915014,0.8391321044546851,0.8154165164082221,0.8476190476190476,0.8306451612903226,0.9279279279279279,0.6793893129770993,178,32,84,412
joint_all,effformer_l1,27,val,tn5000,500,0.43,0.9472634226732587,0.89,0.8772877092549223,0.8581238295215936,0.8524590163934426,0.9021164021164021,0.9498607242339833,0.7375886524822695,104,18,37,341
joint_all,effformer_l1,27,val,busi,104,0.43,0.848086124401914,0.8173076923076923,0.7890749601275917,0.7968541174051609,0.8939393939393939,0.6842105263157895,0.7878787878787878,0.8309859154929577,59,7,12,26
joint_all,effformer_l1,27,val,aul,102,0.43,0.6914772727272727,0.5882352941176471,0.6221590909090908,0.5492424242424242,0.6818181818181818,0.5625,0.8653846153846154,0.3,15,7,35,45
joint_all,effformer_l1,27,test,tn5000,1000,0.43,0.9180950212582719,0.858,0.8383826884908359,0.8289684145612919,0.7935943060498221,0.8831710709318498,0.9163059163059163,0.7263843648208469,223,58,84,635
