"device","manufacturer","model","sdk_int","folder","note","threshold","cold_runs_per_mode","hot_runs_per_mode","mode","phase","n_runs","auc_mean","avg_total_ms_mean","avg_inference_ms_mean","p95_total_ms_mean","mode_prepare_ms_mean"
"Samsung SM-X800","samsung","SM-X800","34","samsung_sm_x800_strict_eca_kd_20260513_222038","samsung_sm_x800_strict_formal_eca_kd_cpu_xnn_1cold3hot","0.870000","1","3","EffFormer-L1+ECA+KD","cold","1","0.955157","66.681143","65.314804","156.184174","73.142552"
"Samsung SM-X800","samsung","SM-X800","34","samsung_sm_x800_strict_eca_kd_20260513_222038","samsung_sm_x800_strict_formal_eca_kd_cpu_xnn_1cold3hot","0.870000","1","3","EffFormer-L1+ECA+KD","hot","3","0.955157","56.507124","55.17976","58.360481","0"
"Samsung SM-X800","samsung","SM-X800","34","samsung_sm_x800_strict_eca_kd_20260513_222038","samsung_sm_x800_strict_formal_eca_kd_cpu_xnn_1cold3hot","0.870000","1","3","EffFormer-L1+ECA+KD CPU-4T","cold","1","0.955157","56.396038","55.070122","58.520466","92.335782"
"Samsung SM-X800","samsung","SM-X800","34","samsung_sm_x800_strict_eca_kd_20260513_222038","samsung_sm_x800_strict_formal_eca_kd_cpu_xnn_1cold3hot","0.870000","1","3","EffFormer-L1+ECA+KD CPU-4T","hot","3","0.955157","56.416613","55.090319","58.505811","0"
"Samsung SM-X800","samsung","SM-X800","34","samsung_sm_x800_strict_eca_kd_20260513_222038","samsung_sm_x800_strict_formal_eca_kd_cpu_xnn_1cold3hot","0.870000","1","3","EffFormer-L1+ECA+KD XNNPACK-4T","cold","1","0.955157","107.391015","106.020246","112.517207","179.391406"
"Samsung SM-X800","samsung","SM-X800","34","samsung_sm_x800_strict_eca_kd_20260513_222038","samsung_sm_x800_strict_formal_eca_kd_cpu_xnn_1cold3hot","0.870000","1","3","EffFormer-L1+ECA+KD XNNPACK-4T","hot","3","0.955157","107.140867","105.772628","112.054791","0"
"Samsung SM-X800","samsung","SM-X800","34","samsung_sm_x800_strict_kd_20260513_223745","samsung_sm_x800_strict_formal_kd_cpu_xnn_1cold3hot","0.830000","1","3","EffFormer-L1+KD","cold","1","0.951089","64.902252","63.551364","60.609974","75.375834"
"Samsung SM-X800","samsung","SM-X800","34","samsung_sm_x800_strict_kd_20260513_223745","samsung_sm_x800_strict_formal_kd_cpu_xnn_1cold3hot","0.830000","1","3","EffFormer-L1+KD","hot","3","0.951089","56.477127","55.161977","58.45","0"
"Samsung SM-X800","samsung","SM-X800","34","samsung_sm_x800_strict_kd_20260513_223745","samsung_sm_x800_strict_formal_kd_cpu_xnn_1cold3hot","0.830000","1","3","EffFormer-L1+KD CPU-4T","cold","1","0.951089","56.505039","55.195172","58.596565","97.438073"
"Samsung SM-X800","samsung","SM-X800","34","samsung_sm_x800_strict_kd_20260513_223745","samsung_sm_x800_strict_formal_kd_cpu_xnn_1cold3hot","0.830000","1","3","EffFormer-L1+KD CPU-4T","hot","3","0.951089","60.307035","58.916561","67.224481","0"
