split,model,condition,threshold,auc,bal_acc,acc,f1_macro,mean_box_iou,checkpoint_count
val,TransXNet-MUDD+DA,GT ROI,0.72,0.9766024807008414,0.9407580882990719,0.944,0.9264952956989247,1.0,9
val,TransXNet-MUDD+DA,GT ROI + 5% noise,0.72,0.975821840575939,0.9272703616965912,0.932,0.9111974759188449,0.8974570285738712,9
val,TransXNet-MUDD+DA,GT ROI + 10% noise,0.72,0.9731546534825224,0.9340142249978316,0.938,0.9188273431403868,0.8135604121109896,9
val,TransXNet-MUDD+DA,GT ROI + 20% noise,0.72,0.9706392575245034,0.9083615231156215,0.916,0.8908523908523909,0.6667514401003822,9
val,TransXNet-MUDD+DA,Detector ROI,0.72,0.9614667360569,0.9256873969988724,0.938,0.9175527529401752,0.7860568885560593,9
test,TransXNet-MUDD+DA,GT ROI,0.72,0.9622746103475072,0.9036473156172817,0.916,0.8975889513108615,1.0,9
test,TransXNet-MUDD+DA,GT ROI + 5% noise,0.72,0.9593989279297561,0.8969184167413222,0.911,0.8913806254767354,0.8985827177168292,9
test,TransXNet-MUDD+DA,GT ROI + 10% noise,0.72,0.9556174797935053,0.8842376966823238,0.899,0.877242303031629,0.8102815437370148,9
test,TransXNet-MUDD+DA,GT ROI + 20% noise,0.72,0.9462875979390117,0.8664639005340553,0.875,0.8513318878828353,0.6622179286845508,9
test,TransXNet-MUDD+DA,Detector ROI,0.72,0.9497003053865838,0.8848514395735476,0.903,0.8811214779173954,0.7892154860398759,9
val,TransXNet-base,GT ROI,0.89,0.9674516436811519,0.9050438025847862,0.89,0.8644726012882495,1.0,9
val,TransXNet-base,GT ROI + 5% noise,0.89,0.9617269494318674,0.8862650706913002,0.87,0.8418329853659011,0.8974570285738712,9
val,TransXNet-base,GT ROI + 10% noise,0.89,0.9615751582964698,0.8902333246595542,0.876,0.8481910246616129,0.8135604121109896,9
val,TransXNet-base,GT ROI + 20% noise,0.89,0.9504293520686964,0.8612629022465088,0.828,0.7996794871794872,0.6667514401003822,9
val,TransXNet-base,Detector ROI,0.89,0.9546795038598317,0.8981698325960621,0.888,0.8611111111111112,0.7860568885560593,9
test,TransXNet-base,GT ROI,0.89,0.9468567949752275,0.8724355198748757,0.868,0.8467995023305046,1.0,9
test,TransXNet-base,GT ROI + 5% noise,0.89,0.9444711169625667,0.8739080078598687,0.867,0.8462980361973903,0.8985827177168292,9
test,TransXNet-base,GT ROI + 10% noise,0.89,0.9391503620588104,0.8668722375382971,0.86,0.8386174588243973,0.8102815437370148,9
test,TransXNet-base,GT ROI + 20% noise,0.89,0.9291869391553116,0.845621389929667,0.831,0.809347822898793,0.6622179286845508,9
test,TransXNet-base,Detector ROI,0.89,0.9388212176856944,0.867485980429521,0.864,0.8421570630071865,0.7892154860398759,9
val,Swin-T,GT ROI,0.88,0.9757134183363693,0.9231720010408535,0.93,0.9083534519326948,1.0,3
val,Swin-T,GT ROI + 5% noise,0.88,0.9762338450863042,0.9202662850203833,0.934,0.9122335757105091,0.8974570285738712,3
val,Swin-T,GT ROI + 10% noise,0.88,0.9725908578367595,0.9165582444270969,0.92,0.8965638511346945,0.8135604121109896,3
val,Swin-T,GT ROI + 20% noise,0.88,0.9751279382426923,0.9127200971463267,0.91,0.8855771235614502,0.6667514401003822,3
val,Swin-T,Detector ROI,0.88,0.9656301500563795,0.8999045884291785,0.92,0.8933333333333333,0.7860568885560593,3
test,Swin-T,GT ROI,0.88,0.950573899098689,0.8850147743752443,0.897,0.8755700522484975,1.0,3
test,Swin-T,GT ROI + 5% noise,0.88,0.9508906696231916,0.8871010052514614,0.9,0.8788284161904624,0.8985827177168292,3
test,Swin-T,GT ROI + 10% noise,0.88,0.9487821658194704,0.884626235528784,0.898,0.8764049845142716,0.8102815437370148,3
test,Swin-T,GT ROI + 20% noise,0.88,0.9462579007023397,0.8818643925182762,0.88,0.8594972812723927,0.6622179286845508,3
test,Swin-T,Detector ROI,0.88,0.9481461500007425,0.8767317201134435,0.896,0.8726763432645785,0.7892154860398759,3
val,ConvNeXt-Tiny,GT ROI,0.87,0.9769494318674646,0.9287232197068263,0.93,0.9092695420444943,1.0,3
val,ConvNeXt-Tiny,GT ROI + 5% noise,0.87,0.9760170006071646,0.9164281377396131,0.924,0.9007501201445913,0.8974570285738712,3
val,ConvNeXt-Tiny,GT ROI + 10% noise,0.87,0.976797640732067,0.9233021077283372,0.926,0.9040849444470367,0.8135604121109896,3
val,ConvNeXt-Tiny,GT ROI + 20% noise,0.87,0.9765591118050134,0.9289834330817938,0.922,0.9008335070865902,0.6667514401003822,3
val,ConvNeXt-Tiny,Detector ROI,0.87,0.9663023679417121,0.9108769190736403,0.924,0.8997276814928965,0.7860568885560593,3
test,ConvNeXt-Tiny,GT ROI,0.87,0.9534495815164399,0.8800652349298899,0.893,0.8707378212678566,1.0,3
test,ConvNeXt-Tiny,GT ROI + 5% noise,0.87,0.9532911962541886,0.8843193640831721,0.896,0.8744876925527756,0.8985827177168292,3
test,ConvNeXt-Tiny,GT ROI + 10% noise,0.87,0.9524052286934701,0.8836239537910997,0.895,0.8734071911949276,0.8102815437370148,3
test,ConvNeXt-Tiny,GT ROI + 20% noise,0.87,0.9483416568088339,0.8777538000089091,0.885,0.8629645650197391,0.6622179286845508,3
test,ConvNeXt-Tiny,Detector ROI,0.87,0.9511208232074004,0.8799835675290414,0.896,0.8734663882927209,0.7892154860398759,3
