threshold,acc,bal_acc,precision_macro,recall_macro,f1_macro,auc,recall_0,recall_1,tn,fp,fn,tp,model_key,model_display,condition,split,clean_val_threshold,clean_val_temperature,mean_box_iou,checkpoint_count
0.78,0.938,0.9423410529967906,0.9029909717694937,0.9423410529967906,0.9200334311848981,0.975756787232197,0.9508196721311475,0.9338624338624338,116,6,25,353,ul_transxnet_mca_mudd_da,UL-TransXNet teacher,gt,val,0.78,1.4258288145065308,1.0,9
0.78,0.926,0.9316289357272964,0.8866925692083536,0.9316289357272964,0.9054728656028532,0.9734148668574898,0.9426229508196722,0.9206349206349206,115,7,30,348,ul_transxnet_mca_mudd_da,UL-TransXNet teacher,noise_5,val,0.78,1.4258288145065308,0.8974570285738712,9
0.78,0.92,0.9137826350941105,0.881976139002322,0.9137826350941105,0.896049896049896,0.9713114754098361,0.9016393442622951,0.9259259259259259,110,12,28,350,ul_transxnet_mca_mudd_da,UL-TransXNet teacher,noise_10,val,0.78,1.4258288145065308,0.8135604121109896,9
0.78,0.878,0.8776780293173736,0.8280593697613532,0.8776780293173736,0.8470219435736677,0.9600355624945789,0.8770491803278688,0.8783068783068783,107,15,46,332,ul_transxnet_mca_mudd_da,UL-TransXNet teacher,noise_20,val,0.78,1.4258288145065308,0.6667514401003822,9
0.78,0.934,0.9230418943533698,0.9035871656426488,0.9230418943533698,0.9126942552819975,0.9592115534738487,0.9016393442622951,0.9444444444444444,110,12,21,357,ul_transxnet_mca_mudd_da,UL-TransXNet teacher,detector,val,0.78,1.4258288145065308,0.7860568885560593,9
0.78,0.604,0.6437245207737011,0.6060547875064004,0.6437245207737011,0.5771471527908287,0.6900425015179114,0.7213114754098361,0.5661375661375662,88,34,164,214,ul_transxnet_mca_mudd_da,UL-TransXNet teacher,full_image,val,0.78,1.4258288145065308,nan,9
0.78,0.899,0.892909289790585,0.8685307608029563,0.892909289790585,0.8791829899219474,0.9599730745054172,0.8790035587188612,0.9068150208623088,247,34,67,652,ul_transxnet_mca_mudd_da,UL-TransXNet teacher,gt,test,0.78,1.4258288145065308,1.0,9
0.78,0.9,0.8925207509441246,0.8700992631102441,0.8925207509441246,0.8800291769041768,0.9590326620107998,0.8754448398576512,0.9095966620305981,246,35,65,654,ul_transxnet_mca_mudd_da,UL-TransXNet teacher,noise_5,test,0.78,1.4258288145065308,0.8985827177168292,9
0.78,0.879,0.8746652873950078,0.844509475523839,0.8746652873950078,0.8568980463626676,0.9513757244888363,0.8647686832740213,0.8845618915159944,243,38,83,636,ul_transxnet_mca_mudd_da,UL-TransXNet teacher,noise_10,test,0.78,1.4258288145065308,0.8102815437370148,9
0.78,0.851,0.8530259009399175,0.8135164835164835,0.8530259009399175,0.8275141548367231,0.9375912571335238,0.8576512455516014,0.8484005563282336,241,40,109,610,ul_transxnet_mca_mudd_da,UL-TransXNet teacher,noise_20,test,0.78,1.4258288145065308,0.6622179286845508,9
0.78,0.899,0.8874895440979217,0.8700090744101634,0.8874895440979217,0.8779861677388179,0.9487004984186221,0.8612099644128114,0.913769123783032,242,39,62,657,ul_transxnet_mca_mudd_da,UL-TransXNet teacher,detector,test,0.78,1.4258288145065308,0.7892154860398759,9
0.78,0.592,0.6284727206133469,0.6041296420361775,0.6284727206133469,0.5763838128779322,0.6555887724647221,0.7117437722419929,0.545201668984701,200,81,327,392,ul_transxnet_mca_mudd_da,UL-TransXNet teacher,full_image,test,0.78,1.4258288145065308,nan,9
0.72,0.944,0.9407580882990719,0.9144441725797243,0.9407580882990719,0.9264952956989247,0.9766024807008414,0.9344262295081968,0.9470899470899471,114,8,20,358,transxnet_mudd_da_teacher,TransXNet-MUDD+DA teacher,gt,val,0.72,1.1479811668395996,1.0,9
0.72,0.932,0.9272703616965912,0.8980284421460891,0.9272703616965912,0.9111974759188449,0.975821840575939,0.9180327868852459,0.9365079365079365,112,10,24,354,transxnet_mudd_da_teacher,TransXNet-MUDD+DA teacher,noise_5,val,0.72,1.1479811668395996,0.8974570285738712,9
0.72,0.938,0.9340142249978316,0.9061897513952308,0.9340142249978316,0.9188273431403868,0.9731546534825224,0.9262295081967213,0.9417989417989417,113,9,22,356,transxnet_mudd_da_teacher,TransXNet-MUDD+DA teacher,noise_10,val,0.72,1.1479811668395996,0.8135604121109896,9
0.72,0.916,0.9083615231156215,0.8769717351269117,0.9083615231156215,0.8908523908523909,0.9706392575245034,0.8934426229508197,0.9232804232804233,109,13,29,349,transxnet_mudd_da_teacher,TransXNet-MUDD+DA teacher,noise_20,val,0.72,1.1479811668395996,0.6667514401003822,9
0.72,0.938,0.9256873969988724,0.9101840824087424,0.9256873969988724,0.9175527529401752,0.961488420504814,0.9016393442622951,0.9497354497354498,110,12,19,359,transxnet_mudd_da_teacher,TransXNet-MUDD+DA teacher,detector,val,0.72,1.1479811668395996,0.7860568885560593,9
